UniProt_ID	PDB_ID	Chains_of_interest	Original_Source
O95453	2A1R	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/2A1R.cif
O95602	7OB9	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7OB9.cif
O95749	9CSL	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9CSL.cif
O95750	2P23	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/2P23.cif
O95926	8C6J	y	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8C6J.cif
O95944	1HKF	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/1HKF.cif
O96000	9CWT	d	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9CWT.cif
O96008	7VD2	B,I	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7VD2.cif
O96009	O96009	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-O96009-F1-model_v4.cif
O96019	8QR1	K	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8QR1.cif
P00813	7RTG	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7RTG.cif
P01111	6ZIO	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6ZIO.cif
P01569	P01569	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P01569-F1-model_v4.cif
P01583	5UC6	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5UC6.cif
P02766	8W45	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8W45.cif
P02786	7ZQS	B,D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7ZQS.cif
P02790	P02790	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P02790-F1-model_v4.cif
P02810	P02810	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P02810-F1-model_v4.cif
P04155	1HI7	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/1HI7.cif
P04179	8SKS	A,B,C,D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8SKS.cif
P04216	P04216	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P04216-F1-model_v4.cif
P04271	5D7F	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5D7F.cif
P04632	1KFU	S	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/1KFU.cif
P04843	6S7O	E	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6S7O.cif
P05023	7E20	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7E20.cif
P05111	P05111	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P05111-F1-model_v4.cif
P06132	1R3S	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/1R3S.cif
P06730	5T46	A,C	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5T46.cif
P06858	6OAU	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6OAU.cif
P07098	1HLG	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/1HLG.cif
P07360	8B0F	F	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8B0F.cif
P07437	7TTT	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7TTT.cif
P07737	6NBE	P	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6NBE.cif
P07910	2MXY	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/2MXY.cif
P08571	4GLP	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/4GLP.cif
P08621	7VPX	O	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7VPX.cif
P08708	8GLP	E	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8GLP.cif
P08754	7T10	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7T10.cif
P08865	8GLP	B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8GLP.cif
P09234	7VPX	N	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7VPX.cif
P09429	9CG9	K	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9CG9.cif
P09455	8GD2	B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8GD2.cif
P09629	P09629	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P09629-F1-model_v4.cif
P09661	7EVO	F	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7EVO.cif
P09884	8QJ7	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8QJ7.cif
P0CG47	9AVW	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9AVW.cif
P0DW28	P0DW28	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P0DW28-F1-model_v4.cif
P10124	P10124	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P10124-F1-model_v4.cif
P10242	P10242	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P10242-F1-model_v4.cif
P10244	P10244	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P10244-F1-model_v4.cif
P10523	P10523	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P10523-F1-model_v4.cif
P10644	5KJZ	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5KJZ.cif
P10809	9ES2	A,B,C,D,E,F,G,H,I,J,K,L,M,N	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9ES2.cif
P11388	6ZY5	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6ZY5.cif
P11474	3D24	A,C	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/3D24.cif
P11801	P11801	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P11801-F1-model_v4.cif
P11940	P11940	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P11940-F1-model_v4.cif
P12270	P12270	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P12270-F1-model_v4.cif
P12524	P12524	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P12524-F1-model_v4.cif
P12956	8AG4	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8AG4.cif
P13010	8AG4	B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8AG4.cif
P13164	P13164	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P13164-F1-model_v4.cif
P13500	7SO0	B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7SO0.cif
P13639	8XSX	L	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8XSX.cif
P14678	7EVO	f	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7EVO.cif
P14866	3TO8	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/3TO8.cif
P14868	4J15	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/4J15.cif
P15863	P15863	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P15863-F1-model_v4.cif
P16615	6LLY	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6LLY.cif
P17480	P17480	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P17480-F1-model_v4.cif
P17980	8USB	F	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8USB.cif
P17987	7NVL	A,a	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7NVL.cif
P18615	8UHG	X	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8UHG.cif
P19013	P19013	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P19013-F1-model_v4.cif
P19387	9EHZ	C	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9EHZ.cif
P19388	9EHZ	E	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9EHZ.cif
P19883	2P6A	C,D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/2P6A.cif
P20020	6A69	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6A69.cif
P20042	8PPL	D	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8PPL.cif
P20248	6Q6G	S	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6Q6G.cif
P20848	P20848	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P20848-F1-model_v4.cif
P21127	7UKZ	A,B,C,D,E,F	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7UKZ.cif
P21283	6WM2	O	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6WM2.cif
P22314	6DC6	A,C	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/6DC6.cif
P22626	5WWG	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5WWG.cif
P22695	9CG3	K,W	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9CG3.cif
P23246	7UK1	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/7UK1.cif
P23381	5UJJ	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5UJJ.cif
P23396	8GLP	B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8GLP.cif
P23471	P23471	All	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/AF-P23471-F1-model_v4.cif
P23528	9H1F	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9H1F.cif
P23921	3HNC	A,B	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/3HNC.cif
P24928	9EHZ	A	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/9EHZ.cif
P25398	8GLP	C	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/8GLP.cif
P25786	5LE5	E,S	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5LE5.cif
P25787	5LE5	A,O	/mnt/c/Users/THANG/Desktop/project1/Goniothalamus_macrocalyx_of/Target_Processing_Group_B/all_cif_structures/5LE5.cif
