UniProt_ID,Run_0,Run_1,Run_2,Mean_Affinity,Std_Dev,Best_Affinity,Replicates
P51450,-7.468,-7.473,-7.467,-7.47,0.003,-7.473,3
Q96GD4,-7.445,-7.433,-7.452,-7.44,0.008,-7.452,3
P28482,-7.447,-7.404,-7.467,-7.44,0.026,-7.467,3
Q9UKV0,-7.439,-7.447,-7.426,-7.44,0.009,-7.447,3
O43570,-7.416,-7.432,-7.44,-7.43,0.01,-7.44,3
P33527,-7.426,-7.439,-7.439,-7.43,0.006,-7.439,3
Q9Y233,-7.427,-7.423,-7.427,-7.43,0.002,-7.427,3
P61073,-7.431,-7.422,-7.414,-7.42,0.007,-7.431,3
P28222,-7.378,-7.446,-7.404,-7.41,0.028,-7.446,3
P04626,-7.428,-7.39,-7.415,-7.41,0.016,-7.428,3
P10635,-7.391,-7.423,-7.418,-7.41,0.014,-7.423,3
O00763,-7.376,-7.396,-7.401,-7.39,0.011,-7.401,3
Q96KQ7,-7.381,-7.384,-7.417,-7.39,0.016,-7.417,3
Q07869,-7.355,-7.384,-7.374,-7.37,0.012,-7.384,3
P50406,-7.371,-7.37,-7.362,-7.37,0.004,-7.371,3
Q9UBN7,-7.35,-7.369,-7.366,-7.36,0.008,-7.369,3
P05979,-7.384,-7.363,-7.332,-7.36,0.021,-7.384,3
P33261,-7.324,-7.353,-7.36,-7.35,0.016,-7.36,3
P29275,-7.332,-7.334,-7.335,-7.33,0.001,-7.335,3
P79208,-7.331,-7.323,-7.332,-7.33,0.004,-7.332,3
O14965,-7.318,-7.315,-7.312,-7.32,0.002,-7.318,3
Q9UNQ0,-7.322,-7.307,-7.325,-7.32,0.008,-7.325,3
P45983,-7.321,-7.322,-7.312,-7.32,0.004,-7.322,3
Q99685,-7.309,-7.324,-7.29,-7.31,0.014,-7.324,3
Q9ULX7,-7.335,-7.325,-7.254,-7.3,0.036,-7.335,3
P50172,-7.326,-7.295,-7.243,-7.29,0.034,-7.326,3
Q02156,-7.269,-7.283,-7.278,-7.28,0.006,-7.283,3
P41595,-7.248,-7.262,-7.255,-7.26,0.006,-7.262,3
P15056,-7.255,-7.241,-7.242,-7.25,0.006,-7.255,3
Q15722,-7.249,-7.241,-7.219,-7.24,0.013,-7.249,3
P36544,-7.219,-7.243,-7.255,-7.24,0.015,-7.255,3
Q9UDY8,-7.215,-7.234,-7.243,-7.23,0.012,-7.243,3
P28062,-7.265,-7.15,-7.279,-7.23,0.058,-7.279,3
P11509,-7.239,-7.212,-7.202,-7.22,0.016,-7.239,3
P07711,-7.21,-7.243,-7.216,-7.22,0.014,-7.243,3
P19634,-7.235,-7.202,-7.225,-7.22,0.014,-7.235,3
Q14524,-7.162,-7.271,-7.214,-7.22,0.045,-7.271,3
P19793,-7.225,-7.153,-7.277,-7.22,0.051,-7.277,3
P12931,-7.217,-7.192,-7.215,-7.21,0.011,-7.217,3
P34969,-7.199,-7.215,-7.208,-7.21,0.007,-7.215,3
P04062,-7.183,-7.201,-7.182,-7.19,0.009,-7.201,3
P09874,-6.979,-6.985,-7.57,-7.18,0.277,-7.57,3
P53779,-7.214,-7.16,-7.167,-7.18,0.024,-7.214,3
P28335,-7.191,-7.187,-7.168,-7.18,0.01,-7.191,3
P35408,-7.169,-7.188,-7.163,-7.17,0.011,-7.188,3
P07607,-7.167,-7.164,-7.165,-7.17,0.001,-7.167,3
Q9NR97,-7.18,-7.145,-7.18,-7.17,0.016,-7.18,3
Q5BJF2,-7.131,-7.14,-7.224,-7.16,0.042,-7.224,3
P06239,-7.166,-7.171,-7.155,-7.16,0.007,-7.171,3
Q12809,-7.3,-6.869,-7.26,-7.14,0.194,-7.3,3
P23219,-7.12,-7.146,-7.156,-7.14,0.015,-7.156,3
Q15858,-7.131,-7.126,-7.149,-7.14,0.01,-7.149,3
P56524,-7.093,-7.146,-7.143,-7.13,0.024,-7.146,3
Q13639,-7.117,-7.106,-7.141,-7.12,0.015,-7.141,3
P15144,-7.209,-7.05,-7.046,-7.1,0.076,-7.209,3
Q9UQL6,-7.091,-7.086,-7.111,-7.1,0.011,-7.111,3
P49327,-7.1,-7.069,-7.096,-7.09,0.014,-7.1,3
O75907,-7.016,-7.262,-7.004,-7.09,0.119,-7.262,3
P47898,-7.077,-7.082,-7.1,-7.09,0.01,-7.1,3
P09237,-6.734,-7.267,-7.254,-7.09,0.248,-7.267,3
Q9UGN5,-7.086,-7.078,-7.09,-7.08,0.005,-7.09,3
O95835,-6.951,-7.144,-7.139,-7.08,0.09,-7.144,3
Q12866,-7.069,-7.074,-7.088,-7.08,0.008,-7.088,3
P35372,-7.072,-7.093,-7.058,-7.07,0.014,-7.093,3
Q9QYJ6,-7.01,-7.184,-7.02,-7.07,0.08,-7.184,3
P37231,-7.076,-7.032,-7.048,-7.05,0.018,-7.076,3
P51449,-7.04,-7.054,-7.043,-7.05,0.006,-7.054,3
P09211,-7.04,-7.033,-7.043,-7.04,0.004,-7.043,3
Q9P1W9,-7.089,-6.921,-7.1,-7.04,0.082,-7.1,3
P15823,-7.026,-7.036,-7.039,-7.03,0.006,-7.039,3
Q9H7Z7,-7.04,-7.019,-7.028,-7.03,0.009,-7.04,3
P11362,-7.009,-7.044,-7.04,-7.03,0.016,-7.044,3
P28223,-7.026,-7.034,-7.015,-7.02,0.008,-7.034,3
P42336,-7.021,-7.016,-7.034,-7.02,0.008,-7.034,3
P24723,-7.027,-7.029,-7.002,-7.02,0.012,-7.029,3
P32246,-7.213,-6.661,-7.164,-7.01,0.249,-7.213,3
P08631,-7.008,-7.005,-7.022,-7.01,0.007,-7.022,3
P78536,-7.015,-7.01,-7.011,-7.01,0.002,-7.015,3
P14625,-6.982,-6.966,-6.979,-6.98,0.007,-6.982,3
P06493,-6.979,-6.984,-6.979,-6.98,0.002,-6.984,3
O60341,-6.986,-6.976,-6.978,-6.98,0.004,-6.986,3
P00519,-6.973,-6.971,-6.967,-6.97,0.002,-6.973,3
O75460,-6.952,-6.962,-6.958,-6.96,0.004,-6.962,3
Q00534,-6.945,-6.993,-6.924,-6.95,0.029,-6.993,3
P17252,-6.946,-6.956,-6.959,-6.95,0.006,-6.959,3
Q9Y468,-6.943,-6.949,-6.942,-6.94,0.003,-6.949,3
P12268,-6.927,-6.928,-6.915,-6.92,0.006,-6.928,3
P13569,-6.907,-6.911,-6.923,-6.91,0.007,-6.923,3
Q04759,-6.921,-6.915,-6.899,-6.91,0.009,-6.921,3
Q15761,-6.897,-6.886,-6.918,-6.9,0.013,-6.918,3
P11802,-6.888,-6.884,-6.916,-6.9,0.014,-6.916,3
P05129,-6.896,-6.878,-6.898,-6.89,0.009,-6.898,3
P45984,-6.862,-6.889,-6.876,-6.88,0.011,-6.889,3
P23280,-6.878,-6.873,-6.884,-6.88,0.004,-6.884,3
P10721,-6.851,-6.843,-6.858,-6.85,0.006,-6.858,3
P15090,-6.862,-6.824,-6.842,-6.84,0.016,-6.862,3
P22455,-6.8,-6.818,-6.82,-6.81,0.009,-6.82,3
P42866,-6.817,-6.811,-6.81,-6.81,0.003,-6.817,3
O60885,-6.81,-6.801,-6.817,-6.81,0.007,-6.817,3
P35439,-6.763,-6.83,-6.775,-6.79,0.029,-6.83,3
Q8R4B8,-6.804,-6.798,-6.778,-6.79,0.011,-6.804,3
P25440,-6.788,-6.795,-6.798,-6.79,0.004,-6.798,3
P28161,-6.787,-6.759,-6.803,-6.78,0.018,-6.803,3
P22748,-6.784,-6.783,-6.764,-6.78,0.009,-6.784,3
P23443,-6.777,-6.782,-6.785,-6.78,0.003,-6.785,3
P07477,-6.783,-6.777,-6.724,-6.76,0.027,-6.783,3
P07333,-6.759,-6.758,-6.758,-6.76,0.0,-6.759,3
P08842,-6.748,-6.756,-6.715,-6.74,0.018,-6.756,3
P37288,-6.71,-6.721,-6.705,-6.71,0.007,-6.721,3
O00329,-6.717,-6.726,-6.692,-6.71,0.014,-6.726,3
P55212,-6.731,-6.524,-6.722,-6.66,0.096,-6.731,3
P43166,-6.66,-6.663,-6.657,-6.66,0.002,-6.663,3
Q15059,-6.646,-6.667,-6.657,-6.66,0.009,-6.667,3
P04049,-6.636,-6.67,-6.65,-6.65,0.014,-6.67,3
P08473,-6.635,-6.657,-6.634,-6.64,0.011,-6.657,3
P10619,-6.653,-6.642,-6.618,-6.64,0.015,-6.653,3
P23526,-6.854,-6.539,-6.541,-6.64,0.148,-6.854,3
P55210,-6.617,-6.62,-6.623,-6.62,0.002,-6.623,3
O14744,-6.548,-6.552,-6.695,-6.6,0.068,-6.695,3
P07900,-6.612,-6.579,-6.608,-6.6,0.015,-6.612,3
Q13546,-6.59,-6.602,-6.593,-6.6,0.005,-6.602,3
Q9Y243,-6.54,-6.56,-6.578,-6.56,0.016,-6.578,3
P98170,-6.613,-6.528,-6.523,-6.55,0.041,-6.613,3
Q5U3Y7,-6.561,-6.557,-6.528,-6.55,0.015,-6.561,3
Q86V86,-6.538,-6.533,-6.54,-6.54,0.003,-6.54,3
P34995,-6.531,-6.51,-6.544,-6.53,0.014,-6.544,3
P04150,-6.536,-6.526,-6.534,-6.53,0.004,-6.536,3
P21980,-6.498,-6.496,-6.51,-6.5,0.006,-6.51,3
P00533,-6.493,-6.497,-6.489,-6.49,0.003,-6.497,3
P01116,-6.476,-6.495,-6.495,-6.49,0.009,-6.495,3
P41145,-6.48,-6.496,-6.496,-6.49,0.008,-6.496,3
P09581,-6.466,-6.468,-6.472,-6.47,0.002,-6.472,3
Q9Y2D0,-6.472,-6.467,-6.466,-6.47,0.003,-6.472,3
P00390,-6.508,-6.559,-6.234,-6.43,0.143,-6.559,3
P07858,-6.412,-6.417,-6.402,-6.41,0.006,-6.417,3
P48147,-6.428,-6.458,-6.358,-6.41,0.042,-6.458,3
P42574,-6.343,-6.343,-6.35,-6.35,0.003,-6.35,3
P08235,-6.348,-6.351,-6.342,-6.35,0.004,-6.351,3
Q9JI35,-6.345,-6.338,-6.341,-6.34,0.003,-6.345,3
P05771,-6.689,-6.174,-6.164,-6.34,0.245,-6.689,3
P32300,-6.32,-6.316,-6.322,-6.32,0.002,-6.322,3
P10253,-6.316,-6.269,-6.341,-6.31,0.03,-6.341,3
P00492,-6.281,-6.316,-6.296,-6.3,0.014,-6.316,3
P41146,-6.286,-6.298,-6.295,-6.29,0.005,-6.298,3
P00338,-6.292,-6.292,-6.298,-6.29,0.003,-6.298,3
Q96PY6,-6.282,-6.292,-6.296,-6.29,0.006,-6.296,3
P23739,-6.296,-6.286,-6.288,-6.29,0.004,-6.296,3
Q16620,-6.132,-6.13,-6.548,-6.27,0.197,-6.548,3
P08922,-6.25,-6.269,-6.276,-6.26,0.011,-6.276,3
P30530,-6.249,-6.243,-6.249,-6.25,0.003,-6.249,3
P62942,-6.185,-6.215,-6.256,-6.22,0.029,-6.256,3
Q6RI86,-6.22,-6.227,-6.228,-6.22,0.004,-6.228,3
Q05941,-6.231,-6.228,-6.205,-6.22,0.012,-6.231,3
Q16790,-6.189,-6.19,-6.156,-6.18,0.016,-6.19,3
Q72874,-6.184,-6.186,-6.164,-6.18,0.01,-6.186,3
P10646,-6.165,-6.152,-6.177,-6.16,0.01,-6.177,3
P28221,-6.142,-6.156,-6.14,-6.15,0.007,-6.156,3
P00734,-6.146,-6.154,-6.155,-6.15,0.004,-6.155,3
Q13043,-6.111,-6.165,-6.147,-6.14,0.022,-6.165,3
P21964,-6.131,-6.149,-6.136,-6.14,0.008,-6.149,3
P25774,-6.134,-6.147,-6.151,-6.14,0.007,-6.151,3
Q8VH26,-6.121,-6.122,-6.124,-6.12,0.001,-6.124,3
P51681,-6.284,-6.163,-5.881,-6.11,0.169,-6.284,3
P07384,-6.08,-6.093,-6.079,-6.08,0.006,-6.093,3
P24941,-6.03,-6.043,-6.039,-6.04,0.005,-6.043,3
P35218,-6.05,-6.048,-6.034,-6.04,0.007,-6.05,3
Q95214,-5.955,-6.119,-6.002,-6.03,0.069,-6.119,3
O14746,-6.023,-6.006,-6.015,-6.01,0.007,-6.023,3
P51677,-6.008,-6.013,-6.015,-6.01,0.003,-6.015,3
P25100,-6.011,-5.994,-6.004,-6.0,0.007,-6.011,3
P49336,-5.993,-5.997,-6.018,-6.0,0.011,-6.018,3
P42338,-5.928,-5.896,-5.939,-5.92,0.018,-5.939,3
Q13490,-5.926,-5.926,-5.913,-5.92,0.006,-5.926,3
P15207,-5.899,-5.925,-5.947,-5.92,0.02,-5.947,3
Q9N1N9,-5.905,-5.901,-5.916,-5.91,0.006,-5.916,3
Q15303,-5.908,-5.884,-5.905,-5.9,0.011,-5.908,3
P50750,-5.888,-5.85,-5.893,-5.88,0.019,-5.893,3
O15151,-5.836,-5.844,-5.85,-5.84,0.006,-5.85,3
Q14790,-5.88,-5.813,-5.834,-5.84,0.028,-5.88,3
P00742,-5.812,-5.81,-5.815,-5.81,0.002,-5.815,3
P05067,-6.087,-5.655,-5.644,-5.8,0.206,-6.087,3
P31639,-5.781,-5.796,-5.783,-5.79,0.007,-5.796,3
P41597,-5.696,-5.703,-5.869,-5.76,0.08,-5.869,3
P04818,-5.736,-5.723,-5.73,-5.73,0.005,-5.736,3
O95271,-5.672,-5.67,-5.681,-5.67,0.005,-5.681,3
P51679,-5.673,-5.651,-5.67,-5.66,0.01,-5.673,3
P25103,-5.647,-5.631,-5.669,-5.65,0.016,-5.669,3
Q05655,-5.536,-5.609,-5.539,-5.56,0.034,-5.609,3
Q9WTR4,-5.555,-5.55,-5.556,-5.55,0.003,-5.556,3
Q9JKC1,-5.532,-5.543,-5.54,-5.54,0.005,-5.543,3
P14324,-5.475,-5.478,-5.484,-5.48,0.004,-5.484,3
P04183,-5.447,-5.454,-5.45,-5.45,0.003,-5.454,3
P00918,-5.442,-5.457,-5.456,-5.45,0.007,-5.457,3
P37840,-5.417,-5.419,-5.438,-5.42,0.009,-5.438,3
Q8K4Z4,-5.33,-5.355,-5.561,-5.42,0.104,-5.561,3
P43235,-5.47,-5.553,-5.197,-5.41,0.152,-5.553,3
Q16665,-5.35,-5.35,-5.419,-5.37,0.033,-5.419,3
P03956,-5.376,-5.389,-5.345,-5.37,0.018,-5.389,3
P35968,-5.316,-5.363,-5.374,-5.35,0.025,-5.374,3
P00749,-5.303,-5.291,-5.302,-5.3,0.005,-5.303,3
P22607,-5.223,-5.209,-5.221,-5.22,0.006,-5.223,3
Q95PM0,-5.217,-5.232,-5.218,-5.22,0.007,-5.232,3
O14684,-4.98,-4.972,-4.973,-4.98,0.004,-4.98,3
P04629,-5.032,-4.937,-4.935,-4.97,0.045,-5.032,3
P00374,-4.828,-4.835,-4.819,-4.83,0.007,-4.835,3
P61964,-4.54,-4.525,-4.886,-4.65,0.167,-4.886,3
P01106,-4.375,-4.54,-4.371,-4.43,0.079,-4.54,3
P08581,-4.396,-4.407,-4.405,-4.4,0.005,-4.407,3
P0DTD1,-4.303,-4.239,-4.271,-4.27,0.026,-4.303,3
P05412,-3.997,-3.973,-3.981,-3.98,0.01,-3.997,3
P25025,-3.578,-3.797,-3.754,-3.71,0.095,-3.797,3
P07451,-2.436,-2.331,-2.277,-2.35,0.066,-2.436,3
P07949,-1.577,-2.561,-0.3877,-1.51,0.889,-2.561,3
P05164,-1.182,-1.098,-1.24,-1.17,0.058,-1.24,3
