UniProt_ID,PDB_ID,Pocket_ID,Druggability_Score,Target_Chains,Pocket_Touching,center_x,center_y,center_z,size_x,size_y,size_z
P08172,4MQS,1,0.761,A,A,-5.818,-10.66,-2.233,16.647,18.506,17.136
P08183,8Y6H,1,0.999,A,A,149.837,148.824,149.844,33.654,30.234,40.112
P08235,P08235,48,0.876,All,All,-3.892,19.669,-9.502,38.953,22.778,27.336
P08238,8GAE,3,0.997,"A,B","A,B,C,D",118.524,102.166,140.221,29.874,58.389,37.274
P08473,6SUK,13,0.684,A,A,32.766,-52.9,29.918,21.446,18.714,14.754
P08483,5ZHP,1,0.922,"A,B",A,-21.296,-48.064,195.768,23.616,17.074,19.536
P08581,7MO9,1,0.847,E,E,108.864,126.682,132.134,17.085,18.181,20.579
P08631,1AD5,1,0.968,"A,B",A,31.195,49.563,101.504,23.468,31.32,20.463
P08684,5VCC,1,0.924,A,A,-14.438,-33.008,-11.564,23.719,28.463,23.303
P08842,8EG3,1,0.733,A,A,60.948,-16.13,41.183,18.647,18.913,17.481
P08908,8PJK,1,0.968,R,R,162.541,171.18,141.969,23.143,25.059,27.923
P08922,P08922,50,0.589,All,All,-13.86,32.328,-22.641,19.639,23.786,21.624
P09211,2A2R,6,0.527,"A,B",A,6.813,-1.654,28.532,17.912,24.495,18.234
P09237,2MZE,2,0.392,A,A,1.786,22.46,-24.154,29.958,15.421,22.656
P09581,P09581,41,0.39,All,All,-20.716,8.111,-3.516,20.559,19.594,22.253
P09874,7S6H,1,0.97,"A,B,C,D",B,48.494,31.817,51.055,22.511,25.898,40.016
P09917,7TTK,1,0.818,"A,B",B,-7.014,75.898,29.48,29.441,31.642,46.209
P0DMS8,8X17,1,0.983,R,R,124.531,97.446,82.118,19.964,24.492,22.583
P0DTD1,7O7Z,623,0.303,E,"E,B,A",296.616,313.119,307.153,19.309,27.555,17.274
P10253,5KZW,5,0.555,A,A,13.237,-30.032,-47.248,18.952,20.206,18.836
P10275,5CJ6,1,0.888,"A,B",A,-26.467,2.646,-5.048,18.569,21.152,15.04
P10619,4CI9,1,0.59,A,A,-36.197,7.46,17.416,21.494,24.954,28.887
P10635,3TBG,2,0.996,"A,B,C,D",C,21.44,25.83,67.106,30.654,30.487,24.794
P10646,7V1N,145,0.021,K,"A,K",220.176,152.172,130.024,15.921,16.204,24.803
P10721,8DFP,10,0.611,"A,B",A,296.462,283.75,314.61,16.482,26.189,17.587
P10827,3ILZ,1,0.979,A,A,27.489,38.955,33.362,20.092,19.342,25.052
P10828,7WMH,1,0.995,A,A,-11.46,-31.861,-0.116,19.954,28.854,22.631
P11362,8JQI,6,0.901,B,B,75.126,146.524,52.242,22.434,23.818,29.87
P11509,2FDV,3,0.736,"A,B,C,D",C,33.811,31.042,96.767,18.843,15.756,15.241
P11511,3S79,1,0.828,A,A,86.047,54.257,46.186,16.108,20.644,16.992
P11712,1R9O,1,0.986,A,A,8.015,35.75,-8.015,34.486,26.859,30.381
P11802,9CSK,76,0.926,"B,D",B,6.656,-4.636,31.05,20.468,31.347,27.183
P12268,9DMU,13,0.546,"A,B,C,D,E,F,G,H","E,F,A,D",167.294,129.926,148.586,33.231,33.237,34.099
P12931,8JN8,2,0.801,A,A,-22.957,74.85,107.032,26.767,19.513,22.486
P13569,9MXL,85,0.849,B,B,160.347,163.841,144.768,18.842,20.508,17.463
P13866,7SLA,3,0.973,A,A,129.925,128.318,132.178,26.725,27.189,24.949
P14324,4NUA,13,0.643,A,A,2.943,21.216,-22.198,18.246,22.27,19.931
P14625,7ULL,2,0.977,"A,B",A,-1.961,20.116,-13.084,27.616,22.308,34.146
P15056,8VYS,33,0.885,A,A,103.986,98.008,137.974,17.165,22.193,16.108
P15090,7G0Z,1,0.917,A,A,20.933,-5.739,-20.815,29.08,20.596,22.379
P15121,1US0,1,0.864,A,A,16.495,-9.491,13.229,17.622,23.367,22.034
P15144,9CAM,109,0.933,"A,B",A,171.322,187.142,188.562,23.819,30.712,25.527
P15207,P15207,44,0.924,All,All,-4.822,8.994,16.202,28.835,21.712,30.249
P15538,7E7F,1,0.925,A,A,6.928,-2.21,-9.286,20.729,20.814,24.086
P15823,P15823,1,0.975,All,All,1.426,-3.595,-13.186,24.761,18.185,19.69
P17252,4RA4,1,0.93,A,A,32.889,-6.573,14.287,18.374,25.754,15.943
P17612,3OVV,1,0.75,A,"A,B",-8.42,-6.012,18.538,19.077,28.746,30.087
P19099,6XZ9,1,0.996,"A,B,C",B,28.3,11.682,18.992,29.972,37.575,21.411
P19634,7DSX,6,0.84,"A,B",A,139.441,134.242,133.426,19.658,16.688,20.123
P19793,3DZY,1,0.975,A,A,5.942,5.252,42.134,26.633,27.289,20.709
P19971,2J0F,1,0.982,"A,B,C,D","A,C",13.478,-66.672,2.147,24.367,33.425,34.026
P20309,8EA0,1,0.855,A,A,128.324,120.699,154.838,20.517,17.868,18.935
P21802,6V6Q,48,0.993,"A,B,C,D","A,B",-8.311,-20.818,16.292,30.174,35.099,42.469
P21964,4PYI,6,0.504,A,A,-12.113,-15.693,-14.474,16.56,18.772,18.384
P21980,9BC4,1,0.662,A,"E,A",3.594,6.962,-24.072,14.703,18.11,15.305
P22455,8KH8,1,0.989,A,A,166.652,-0.53,74.833,33.743,33.743,32.612
P22607,1RY7,14,0.525,B,B,26.865,1.542,58.126,16.571,18.138,17.887
P22748,3FW3,8,0.898,"A,B","A,B",18.632,9.31,5.099,28.743,19.812,21.48
P22894,1BZS,1,0.835,A,A,29.054,59.972,48.728,20.8,27.157,25.366
P23219,6Y3C,1,0.894,A,A,-24.077,-41.705,1.539,35.724,25.994,28.389
P23280,3FE4,2,0.531,"A,B",B,32.248,52.484,83.731,24.503,22.062,25.078
P23443,4L42,3,0.93,A,A,39.788,-26.47,-4.461,21.163,24.549,27.65
P23526,1LI4,22,0.718,A,A,63.448,-7.392,106.068,27.137,27.262,22.476
P23739,P23739,2,0.75,All,All,-15.008,1.902,44.53,17.147,16.379,17.979
P23975,8HFE,1,0.992,A,A,92.671,98.25,99.626,36.04,24.6,20.738
P23977,P23977,1,0.785,All,All,2.367,1.634,-3.106,20.463,32.009,23.953
P24723,8FP1,1,0.904,A,A,-19.418,-5.112,13.424,20.107,18.975,17.05
P24941,6Q4G,3,0.242,A,A,-8.083,8.296,-13.223,21.926,25.367,25.888
P25025,6LFO,1,0.629,R,"R,D",126.31,127.192,206.582,15.316,14.996,17.407
P25100,P25100,33,0.918,All,All,-24.734,-0.677,31.977,32.403,22.894,30.0
P25103,8U26,1,0.895,R,R,126.641,133.485,122.006,27.382,21.364,19.663
P25440,P25440,5,0.831,All,All,-5.281,10.633,-19.396,20.962,25.34,22.511
P25774,2C0Y,3,0.287,A,A,15.843,76.41,29.321,15.485,25.053,22.486
P28062,6E5B,2,0.579,"K,Y","Z,Y",-53.956,16.856,11.315,17.918,20.671,18.2
P28161,2C4J,1,0.695,"A,B,C,D","C,D",12.094,7.012,36.278,20.281,18.119,18.088
P28221,7E32,59,0.257,R,"A,B,R",96.342,89.524,89.244,23.963,20.496,26.678
P28222,6G79,1,0.997,S,S,97.523,54.502,62.118,27.395,33.829,21.353
P28223,9AS8,13,0.623,A,A,127.329,138.244,88.304,27.542,20.953,22.432
P28335,8DPF,1,0.9,A,A,127.53,143.144,103.524,23.549,24.084,24.287
P28482,8AOJ,6,0.125,A,A,-14.438,-4.499,30.898,28.657,23.755,26.039
P28845,4BB5,1,0.999,"A,B,C,D","B,C,D",7.77,16.688,-60.845,29.471,32.447,33.949
P29274,8UGW,1,0.996,A,A,94.072,76.89,137.631,32.819,20.989,32.256
P29275,8HDO,1,0.993,R,R,138.456,125.91,106.126,20.638,24.952,25.99
P29475,P29475,66,0.75,All,All,-26.56,-16.727,21.543,24.459,22.512,21.242
P30530,5U6B,2,0.951,"A,B,C,D",C,-24.799,-11.914,-28.234,25.418,23.301,22.339
P30542,7LD3,1,0.923,R,R,86.606,120.735,115.379,20.257,27.126,20.112
P31639,9KMN,43,0.992,A,"A,H,L",148.42,131.125,109.774,32.381,22.946,30.436
P31645,6VRH,1,0.992,A,A,126.538,126.193,124.578,34.008,22.106,28.735
P31749,7NH5,1,0.907,A,A,12.201,-17.01,-13.406,29.68,30.581,37.873
P31751,8Q61,1,0.85,A,A,-3.895,4.983,-3.343,33.566,24.361,25.775
P32246,7VL9,7,0.44,R,"L,R",124.959,149.684,162.037,21.305,21.554,21.62
P32300,4EJ4,12,0.847,A,A,60.222,55.64,-15.89,21.923,21.763,28.454
P32320,1MQ0,2,0.805,"A,B","A,B",35.427,92.399,105.963,22.797,16.323,20.9
P33261,4GQS,1,0.997,"A,B,C,D",B,-96.384,-33.122,-70.365,20.519,24.747,31.694
P33527,8VUX,149,0.932,"A,B",A,134.288,164.768,182.18,39.601,24.945,26.496
P33535,P33535,10,0.757,All,All,-6.322,4.672,13.093,23.171,28.119,31.345
P34969,7XTC,1,0.978,R,R,91.154,108.378,75.412,21.729,21.899,29.95
P34972,8GUR,1,0.967,R,R,136.126,143.666,173.981,22.7,20.777,24.811
P34995,9M1H,48,0.956,A,A,134.316,111.791,152.928,25.655,22.89,29.104
P35218,P35218,19,0.132,All,All,16.842,7.966,17.316,28.638,33.085,26.865
P35270,6I6V,1,0.955,"A,B",A,22.511,-6.717,22.701,30.006,33.475,34.112
P35354,5F1A,55,0.968,"A,B",B,47.064,10.658,191.286,35.005,30.167,36.573
P35372,9MQJ,1,0.837,A,A,140.96,145.166,183.813,17.872,22.978,19.405
P35408,8GCP,1,0.994,R,R,108.722,93.452,114.402,27.82,18.934,24.703
P35439,9ARH,1,0.985,"A,C","A,B",152.422,217.896,111.486,21.773,29.758,22.113
P35610,6P2J,1,1.0,"A,B","A,B",117.105,150.107,155.32,54.286,41.232,33.951
P35968,3V2A,10,0.203,R,"A,R",29.304,-1.962,13.235,16.954,14.732,16.75
P36544,7EKP,127,0.987,"A,B,C,D,E","A,B",133.802,132.981,130.451,30.163,31.868,41.49
P37231,3DZY,2,0.14,D,D,-6.827,17.237,14.586,18.14,19.21,19.002
P37288,P37288,1,0.825,All,All,1.592,7.506,-10.851,16.523,20.287,17.35
P37840,9EUU,1,1.0,"A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R","F,O,B,Q,D,N,H,P,R",187.244,157.25,172.48,14.982,15.613,54.736
P41145,9MQL,1,0.456,A,A,162.004,135.838,180.572,19.459,23.637,26.037
P41146,8F7X,30,0.917,R,R,96.998,100.044,128.226,18.2,20.467,21.758
P41595,7SRS,65,0.982,R,"C,R",159.02,152.304,173.482,26.025,32.871,24.491
P41597,7XA3,9,0.646,R,"A,R",105.042,121.542,91.16,25.019,25.715,22.989
P42330,1S1P,1,0.988,A,A,22.61,-29.101,61.402,29.368,31.024,34.186
P42336,4JPS,1,0.775,A,A,-1.254,-8.646,17.946,21.669,22.805,24.803
P42338,P42338,82,0.498,All,All,-19.852,7.62,12.913,31.233,28.324,19.934
P42345,8ERA,321,0.999,A,A,121.449,216.746,153.392,45.77,33.49,36.393
P42574,5IBP,1,0.553,A,A,27.42,33.564,113.539,24.594,21.395,23.071
P42858,9PMW,209,0.97,A,"A,B",194.639,171.95,213.16,36.284,38.594,29.829
P42866,8QOT,1,0.469,A,"A,B",162.438,177.997,178.866,18.971,21.962,22.613
P43116,7CX2,1,0.982,R,R,84.468,114.314,119.462,23.617,21.147,21.758
P43166,8Q3U,1,0.536,A,A,15.939,26.32,6.274,14.264,15.512,17.132
P43235,7QBM,2,0.808,"A,P",A,18.462,26.956,-6.03,20.401,22.282,20.016
P43490,8DSC,1,0.949,"A,B","A,B",6.926,-9.506,38.526,24.534,32.769,38.044
P45983,2XS0,1,0.979,A,A,-30.05,9.657,7.536,24.368,30.557,26.773
P45984,8ELC,1,0.968,A,A,14.26,21.055,19.562,25.355,17.926,19.303
P46098,8AXD,183,0.982,"A,B,C,D,E","A,B",144.356,129.835,148.326,23.591,26.352,35.355
P47898,7X5H,1,0.864,R,R,109.206,134.022,117.41,20.742,18.905,17.223
P48067,9J8C,9,0.597,A,A,127.84,114.784,112.054,21.42,21.311,19.884
P48147,3DDU,5,0.888,A,A,-3.552,-5.012,13.573,25.36,29.243,18.826
P49327,8VG4,19,0.851,"A,B",B,198.368,219.338,248.866,20.326,16.173,19.465
P49336,8TQ2,54,0.492,A,"A,C",165.463,208.712,273.333,21.594,26.651,29.375
P49682,8XYK,31,0.151,R,R,130.322,118.572,89.414,20.201,16.71,20.036
P50172,4K26,6,0.962,"A,B","A,B",13.843,-21.898,19.95,24.491,31.115,19.567
P50406,8JLZ,10,0.986,R,R,60.314,74.588,111.892,33.241,18.498,27.137
P50579,1B6A,1,0.933,A,A,19.658,31.013,18.2,22.579,18.747,18.551
P50750,4EC9,4,0.906,A,A,42.168,-36.029,14.097,23.661,17.302,25.4
P51449,6CN5,2,0.959,"A,B",A,-10.812,28.961,-3.383,23.351,22.018,20.13
P51450,P51450,35,0.869,All,All,-11.206,-11.07,-2.335,26.253,19.161,19.496
P51677,7X9Y,17,0.89,R,R,93.67,139.896,127.809,21.091,21.266,24.517
P51679,P51679,25,0.506,All,All,-20.396,19.944,4.994,22.39,16.063,22.891
P51681,7O7F,60,0.919,C,C,190.628,188.173,240.421,18.125,19.424,21.196
P51686,5LWE,2,0.934,"A,B",B,143.031,74.935,24.69,21.142,23.206,22.121
P53582,8P2K,128,0.82,C,C,263.524,153.749,278.367,20.058,20.294,17.594
P53779,7KSI,1,0.902,A,A,22.721,12.949,30.972,21.804,30.354,24.191
P55055,4NQA,1,0.991,"B,I","B,I",-8.24,30.172,-27.12,29.201,23.447,37.915
P55210,5V6Z,1,0.796,"A,B",B,42.358,-10.98,10.222,17.514,18.798,18.113
P55212,2WDP,40,0.9,"A,B,C,D","A,B",-11.236,-12.363,-33.826,23.411,32.614,22.494
P55263,4O1L,1,0.994,"A,B",A,27.345,24.452,24.502,41.044,27.383,38.402
P56524,2VQM,1,0.797,A,A,16.782,-7.564,0.1,21.361,21.865,22.517
P61073,9MDU,58,0.992,"A,B,C,D","A,B",129.365,156.522,142.66,31.958,28.64,24.821
P61964,7BED,3,0.783,"A,B",A,-4.738,4.136,141.982,21.805,16.798,16.964
P62942,8X6P,1,0.12,"A,B",B,-11.407,3.519,27.667,14.254,14.476,16.0
P68400,6TLS,1,0.667,A,A,68.511,17.81,24.378,16.941,16.813,17.825
P78536,8SNL,84,0.586,A,"A,B",167.154,152.879,129.834,21.388,29.406,29.818
P79208,P79208,11,0.991,All,All,-3.766,16.308,-11.023,20.283,31.46,29.356
P98170,P98170,30,0.751,All,All,-29.294,0.422,-2.224,22.582,24.58,28.681
Q00534,1BLX,26,0.557,A,"A,B",28.922,-17.99,62.762,24.42,30.475,36.613
Q01959,9EO4,1,0.98,B,B,128.699,123.02,127.464,17.714,25.226,19.772
Q02156,Q02156,52,0.242,All,All,0.566,12.26,3.528,21.496,25.628,22.242
Q02750,9AY7,1,0.952,B,"A,B",-13.905,9.448,-25.24,27.904,31.283,25.091
Q03181,3ET2,2,0.879,"A,B",B,23.412,45.147,86.116,29.725,24.897,28.253
Q04759,5F9E,1,0.255,"A,B",B,26.702,73.146,-5.936,19.717,15.44,17.406
Q05655,Q05655,31,0.757,All,All,-19.676,19.878,2.121,21.142,17.379,18.472
Q05769,3QH0,1,0.974,"A,B",A,22.27,15.526,65.372,21.503,21.183,23.98
Q05941,Q05941,2,0.571,All,All,20.22,0.163,-5.27,22.196,17.112,16.579
Q06187,6VXQ,3,0.876,A,A,11.082,-34.908,-4.244,20.152,25.859,25.985
Q07869,1K7L,1,0.986,"A,C,E,G",E,10.788,38.141,16.746,31.413,29.677,29.388
Q07889,3KSY,3,0.999,A,A,47.658,65.724,105.15,29.648,42.948,26.599
Q12809,9CHQ,76,0.863,"A,B,C,D","A,B",132.6,153.534,162.399,29.999,31.297,20.914
Q12866,Q12866,22,0.483,All,All,-10.868,-4.637,-7.53,27.202,16.842,19.199
Q13043,8PAV,1,0.57,"A,B",B,5.26,11.452,-16.712,21.976,20.317,18.079
Q13133,5HJS,1,0.99,"A,B",A,18.834,-18.912,22.024,35.394,26.516,23.311
Q13490,3T6P,18,0.357,A,A,8.866,50.217,87.13,26.013,22.768,27.832
Q13546,4NEU,2,0.984,"A,B",B,60.936,68.394,19.97,23.518,32.865,26.575
Q13639,7XT8,2,0.975,R,R,100.163,120.6,82.29,19.51,18.088,28.309
Q14524,6LQA,53,0.984,B,B,141.976,135.764,131.2,27.499,27.153,21.099
Q14790,8YNM,4,0.076,"A,B,C","B,C,J",128.519,146.016,166.468,18.928,19.426,19.334
Q15059,Q15059,40,0.914,All,All,-1.199,11.645,-29.344,25.39,22.398,22.538
Q15303,3U9U,70,0.184,"E,F",E,21.25,-56.996,81.058,15.22,16.378,16.913
Q15722,7VKT,1,0.995,A,A,135.994,148.284,109.916,27.127,20.335,22.717
Q15761,Q15761,6,0.398,All,All,9.524,-10.113,-11.132,19.928,26.722,24.887
Q15858,7W9K,1,0.996,A,A,208.886,204.528,201.684,35.154,30.38,36.135
Q15910,5HYN,318,0.98,"A,F,K,Q","K,L,M",89.637,-64.025,-77.842,31.298,34.099,38.304
Q16288,6KZD,1,0.976,A,A,-10.42,-13.346,16.441,30.802,21.626,24.616
Q16620,4ASZ,19,0.374,A,A,60.951,30.892,21.392,17.667,15.921,14.667
Q16665,9OFU,100,0.884,"A,C","F,C,E,D",189.693,166.952,141.564,25.66,23.19,20.614
Q16790,5DVX,13,0.576,"A,B","A,B",-12.962,10.606,-20.917,16.456,20.397,26.613
Q5BJF2,Q5BJF2,1,0.776,All,All,2.098,0.909,-3.539,18.942,14.609,22.49
Q5U3Y7,Q5U3Y7,9,0.76,All,All,4.254,-4.138,13.091,19.763,17.715,18.01
Q60492,Q60492,1,0.984,All,All,-0.362,2.492,-2.001,21.711,26.924,20.643
Q63380,Q63380,1,0.965,All,All,7.27,-3.438,-6.004,31.989,28.67,35.278
Q6GI75,4FS3,1,0.991,A,A,108.301,63.188,41.448,24.264,30.196,31.724
Q6RI86,Q6RI86,90,0.861,All,All,-39.54,-15.696,35.624,20.936,27.898,17.123
Q72874,5V4Y,1,0.774,A,A,-8.054,-12.21,9.803,23.13,19.716,21.816
Q86V86,Q86V86,7,0.59,All,All,-3.149,9.748,8.172,16.163,18.305,17.181
Q8K4Z4,Q8K4Z4,25,0.916,All,All,7.02,-8.992,-7.597,21.826,16.239,24.921
Q8R4B8,7VTQ,9,0.992,"A,B,C,D,E,F,G,H,I,J,K,L",E,107.63,104.069,197.301,34.15,24.084,27.211
Q8VH26,Q8VH26,35,0.954,All,All,12.838,9.849,-3.055,18.835,15.243,28.788
Q8WUI4,3C10,1,0.892,"A,B,C",C,6.687,51.179,-15.506,21.218,21.304,18.798
Q95214,Q95214,31,0.809,All,All,-6.466,2.026,13.827,18.869,21.184,18.39
Q95PM0,7AVM,5,0.447,A,A,31.172,12.838,18.448,18.897,17.386,16.489
Q96GD4,4AF3,1,0.933,A,A,20.766,-23.054,-6.394,29.935,18.361,25.758
Q96KQ7,Q96KQ7,1,0.765,All,All,-22.932,-10.57,-23.31,23.669,33.493,30.918
Q96PY6,Q96PY6,94,0.854,All,All,-13.362,0.23,12.937,19.838,23.698,28.066
Q96RI1,3BEJ,1,0.992,"A,B",B,6.155,16.329,36.59,18.782,25.946,29.017
Q99685,9F8D,1,0.33,A,A,-37.828,-18.064,-7.15,27.641,22.729,24.535
Q99720,5HK1,2,0.988,"A,B,C",B,-9.13,21.818,-23.963,24.163,20.885,23.916
Q9H7Z7,Q9H7Z7,25,0.632,All,All,-0.732,9.801,-7.342,37.505,27.974,33.369
Q9JI35,Q9JI35,5,0.833,All,All,-1.987,-7.368,6.668,17.58,19.496,19.821
Q9JKC1,Q9JKC1,9,0.726,All,All,-1.037,11.031,30.421,23.733,20.528,16.81
Q9N1N9,Q9N1N9,6,0.174,All,All,19.276,12.836,-20.986,22.685,21.663,19.912
Q9NR97,9MHW,32,0.687,A,A,23.916,-16.148,7.065,20.931,22.412,18.422
Q9NWZ3,8DKS,2,0.877,"A,B",B,-39.158,-16.949,14.319,30.749,18.112,24.782
Q9P1W9,4X7Q,2,0.771,"A,B",B,56.802,22.688,6.219,29.735,20.101,23.278
Q9QYJ6,3HR1,1,0.98,A,A,11.25,17.753,42.368,22.678,25.2,33.147
Q9R0C9,Q9R0C9,1,0.978,All,All,-4.084,7.504,-3.81,26.567,20.199,22.278
Q9UBF8,5C46,1,0.926,E,"E,F",-12.042,4.87,14.234,25.325,20.529,22.282
Q9UBN7,Q9UBN7,52,0.683,All,All,-9.474,-20.208,-6.861,26.149,24.294,19.026
Q9UDY8,7A41,2,0.991,"A,B",B,1.133,-15.228,79.654,18.094,33.093,19.461
Q9UGN5,6X0L,61,0.296,"P,R",P,272.086,248.866,252.266,22.276,19.887,22.735
Q9UKV0,Q9UKV0,66,0.795,All,All,2.674,0.308,-17.599,24.568,32.724,29.342
Q9ULX7,5CJF,1,0.815,A,A,69.326,35.977,1.304,20.253,15.88,18.935
Q9UNQ0,8U2C,97,0.897,"A,B","A,B",0.001,-0.004,-0.708,21.997,20.84,20.691
Q9UQL6,Q9UQL6,32,0.648,All,All,8.323,-6.616,-10.059,29.332,21.746,22.046
Q9WTR4,Q9WTR4,41,0.424,All,All,-34.622,-12.476,41.676,23.102,24.981,26.353
Q9Y233,4DFF,2,0.986,"A,B",A,5.893,14.004,39.285,25.368,28.43,27.266
Q9Y243,Q9Y243,34,0.428,All,All,-3.47,-10.528,3.998,21.298,19.755,20.931
