UniProt_ID,PDB_ID,Pocket_ID,Druggability_Score,Target_Chains,Pocket_Touching,center_x,center_y,center_z,size_x,size_y,size_z
O60346,O60346,62,0.663,All,All,13.168,4.605,44.921,19.689,17.452,22.22
O60412,O60412,1,0.837,All,All,7.699,4.252,3.48,17.18,19.445,19.417
O60506,6KOR,6,0.185,A,A,28.39,-9.206,5.805,18.553,16.337,15.294
O60508,8C6J,409,0.635,o,"i,o",324.653,222.344,247.22,24.232,22.679,22.433
O60566,6TLJ,329,0.764,S,"Q,R,S,I",194.761,141.878,160.915,31.64,39.494,41.852
O60765,O60765,43,0.724,All,All,17.534,-16.909,-10.326,18.712,20.601,26.813
O60784,1ELK,15,0.445,"A,B",B,37.623,3.539,76.505,17.84,15.971,17.2
O60841,8PJ5,38,0.288,0,0,128.58,146.258,208.106,16.98,17.8,13.136
O60942,8P4B,15,0.317,M,M,205.099,160.978,102.912,24.246,24.253,16.205
O75027,7VGF,24,0.808,"A,B","B,A",121.676,121.681,95.36,32.067,21.42,23.95
O75343,O75343,38,0.38,All,All,13.119,14.266,-20.666,22.462,16.205,19.539
O75352,O75352,6,0.799,All,All,-10.534,-6.074,-8.724,17.179,19.759,18.817
O75427,O75427,2,0.222,All,All,1.098,10.14,-5.435,19.966,18.146,21.062
O75445,O75445,99,0.367,All,All,43.113,18.232,-49.87,19.78,30.147,23.009
O75533,7Q4O,137,0.741,A,A,219.096,225.598,176.732,18.145,20.079,21.196
O75643,8H6L,350,0.689,B,B,191.294,172.29,282.07,22.158,16.447,22.455
O75694,7EYQ,98,0.934,A,A,115.641,120.332,88.648,34.76,21.748,25.768
O75787,6WLW,1,0.993,V,"0,U,V",253.127,278.311,209.146,28.582,29.121,27.937
O75818,6AHV,1,0.646,A,A,12.804,25.764,6.725,17.332,16.018,17.012
O75821,8PPL,282,0.002,A,"C,A,D",259.404,300.486,365.017,18.068,17.417,19.404
O75908,7N6Q,1,1.0,"A,B,C,D","C,D",156.367,169.064,117.112,26.866,51.903,29.348
O75909,5EFQ,62,0.476,"B,D","A,D",-5.619,-5.157,4.996,20.392,32.66,25.641
O76075,O76075,20,0.108,All,All,7.792,10.204,-13.566,17.788,16.527,18.344
O94761,5LST,24,0.755,A,A,67.21,-34.635,19.942,20.387,17.452,19.772
O94925,8GWR,52,0.722,"A,B","B,A",71.064,-13.216,-7.737,24.985,26.786,20.442
O95136,7T6B,1,0.993,R,R,106.642,148.519,138.832,40.145,32.497,30.895
O95153,O95153,141,0.993,All,All,-16.732,-28.204,12.082,34.549,23.094,29.401
O95218,O95218,16,0.212,All,All,6.949,3.257,7.988,27.184,25.836,26.419
O95243,O95243,19,0.19,All,All,-17.406,-23.456,9.756,18.085,15.63,17.593
O95256,3WO4,41,0.848,C,C,7.783,20.249,16.358,19.215,23.124,21.892
O95347,9F5W,199,0.992,A,A,195.998,144.587,184.163,31.892,26.059,40.875
O95411,O95411,1,0.78,All,All,0.196,5.548,4.093,17.457,13.847,18.276
O95453,2A1R,3,0.867,"A,B",A,51.518,57.491,33.855,24.873,21.192,23.434
O95602,7OB9,130,0.248,A,"B,A,T",109.774,105.962,119.463,29.143,18.065,18.54
O95749,9CSL,36,0.46,"A,B","B,A",-47.797,-96.034,13.722,20.092,19.159,20.663
O95750,2P23,4,0.756,"A,B","B,A",6.626,19.161,14.678,23.776,22.334,26.981
O95926,8C6J,416,0.68,y,"y,z,T",277.937,306.962,169.687,39.078,30.741,43.308
O95944,1HKF,1,0.286,A,A,49.51,24.392,19.428,18.495,18.161,17.637
O96000,9CWT,30,0.799,d,"d,r,a,e",300.912,289.024,348.257,20.8,25.468,28.608
O96008,7VD2,1,0.998,"B,I","C,H,B,I",134.91,134.96,118.544,23.693,30.879,28.132
O96009,O96009,2,0.441,All,All,5.574,24.272,-18.167,17.589,17.865,16.522
O96019,8QR1,141,0.381,K,"G,K",248.941,193.996,282.254,31.778,35.993,26.668
P00813,7RTG,1,0.677,"A,B",A,11.862,-0.392,23.342,19.67,20.522,21.915
P01111,6ZIO,1,0.302,"A,B","B,A",-14.024,24.336,-25.725,27.807,24.809,21.581
P01569,P01569,2,0.366,All,All,9.615,8.251,0.012,16.32,20.59,21.857
P01583,5UC6,1,0.867,A,"B,A",96.079,52.316,113.952,27.344,23.902,26.915
P02766,8W45,8,0.113,"A,B",B,-32.881,18.745,-22.568,14.461,14.096,16.671
P02786,7ZQS,46,0.787,"B,D","B,D",117.205,99.321,77.82,23.534,22.391,29.277
P02790,P02790,1,0.945,All,All,4.882,7.467,1.07,29.226,40.64,22.218
P02810,P02810,1,0.029,All,All,-1.359,-29.39,18.151,23.376,24.797,22.18
P04155,1HI7,3,0.251,"A,B",B,22.452,-32.132,27.5,16.753,16.094,18.826
P04179,8SKS,32,0.86,"A,B,C,D",C,143.794,116.845,159.156,18.327,18.341,22.963
P04216,P04216,5,0.787,All,All,34.472,29.48,7.139,19.057,22.751,14.797
P04271,5D7F,14,0.422,"A,B","B,A",-18.721,-23.486,41.319,15.106,14.982,20.378
P04632,1KFU,74,0.4,S,"L,S",6.119,-5.448,48.194,20.828,18.197,23.545
P04843,6S7O,1,0.997,E,"F,A,E,D",139.962,166.794,183.311,23.643,17.444,33.656
P05023,7E20,1,0.942,A,"C,A",94.168,100.97,106.95,19.427,31.397,24.193
P05111,P05111,5,0.65,All,All,-31.057,-10.029,7.35,16.231,23.591,15.418
P06132,1R3S,10,0.399,A,A,30.802,72.245,37.335,16.014,15.555,16.512
P06730,5T46,1,0.973,"A,C","C,B,A",-9.17,22.742,50.816,22.319,18.584,28.509
P06858,6OAU,1,0.848,"A,B","B,A",2.846,51.35,7.3,35.785,21.055,28.5
P07098,1HLG,26,0.699,"A,B","B,A",30.796,82.17,99.297,17.916,21.953,18.483
P07360,8B0F,186,0.048,F,"C,B,F,D",237.759,255.039,244.941,24.241,28.244,26.43
P07437,7TTT,341,0.757,A,A,176.288,177.127,145.145,24.739,23.64,21.796
P07737,6NBE,16,0.015,P,"A,P",-33.418,-9.762,30.463,22.461,17.907,18.354
P07910,2MXY,1,0.205,A,"B,A",5.822,8.502,3.165,16.791,14.541,14.049
P08571,4GLP,2,0.92,A,A,51.371,12.266,2.776,19.549,19.746,18.608
P08621,7VPX,71,0.615,O,"j,N,O",258.236,332.349,409.554,27.799,24.864,19.994
P08708,8GLP,192,0.71,E,"G,B,A,E",217.489,248.733,195.169,30.784,29.127,25.324
P08754,7T10,8,0.56,A,A,131.433,176.144,165.374,15.225,15.93,15.986
P08865,8GLP,320,0.098,B,"C,B",235.568,218.576,148.873,20.016,19.244,20.9
P09234,7VPX,54,0.78,N,"n,N,j,L,k",277.814,323.88,413.096,27.828,30.714,19.888
P09429,9CG9,4,0.946,K,"J,K,I",137.926,109.51,82.786,32.375,34.299,43.149
P09455,8GD2,1,0.814,B,B,17.345,-2.202,-13.106,18.092,17.972,18.919
P09629,P09629,9,0.072,All,All,-29.686,25.917,4.426,23.932,19.264,14.693
P09661,7EVO,51,0.25,F,"f,F",159.285,143.088,115.004,24.388,21.308,18.471
P09884,8QJ7,25,0.754,A,"B,A",208.316,195.548,174.244,20.284,19.144,21.366
P0CG47,9AVW,1,0.725,"A,B","C,B",32.661,-21.371,4.29,14.64,22.887,17.895
P0DW28,P0DW28,6,0.191,All,All,16.435,0.975,-21.607,18.434,14.23,16.324
P10124,P10124,9,0.71,All,All,6.743,10.594,-12.971,23.423,17.373,17.872
P10242,P10242,22,0.644,All,All,-35.425,-8.54,-28.142,20.314,14.784,17.917
P10244,P10244,1,0.517,All,All,-8.627,2.792,0.377,18.336,20.357,25.285
P10523,P10523,30,0.127,All,All,9.602,5.844,2.886,26.746,21.777,21.122
P10644,5KJZ,1,0.877,A,A,0.311,9.421,2.574,23.775,23.336,15.679
P10809,9ES2,2,0.733,"A,B,C,D,E,F,G,H,I,J,K,L,M,N",B,205.736,145.626,217.272,30.417,24.462,19.576
P11388,6ZY5,141,0.554,"A,B",B,167.017,180.357,125.453,17.388,22.56,16.54
P11474,3D24,2,0.543,"A,C",A,-1.18,39.295,63.294,16.809,12.734,15.619
P11801,P11801,23,0.087,All,All,-14.51,7.274,2.18,18.221,20.858,20.083
P11940,P11940,8,0.105,All,All,3.151,-0.401,-26.666,24.11,25.551,27.226
P12270,P12270,207,0.315,All,All,-0.815,7.536,69.26,17.943,22.725,23.218
P12524,P12524,5,0.302,All,All,-10.159,-33.319,-28.054,18.704,20.524,20.646
P12956,8AG4,111,0.324,A,"C,B,A,D",135.01,133.649,128.266,25.92,42.4,31.452
P13010,8AG4,111,0.324,B,"C,B,A,D",135.01,133.649,128.266,25.92,42.4,31.452
P13164,P13164,2,0.875,All,All,3.452,-3.286,4.858,19.281,18.031,22.992
P13500,7SO0,2,0.591,B,"B,A",12.538,-21.458,-11.907,21.993,21.062,15.541
P13639,8XSX,1063,0.266,L,"L,F",277.88,156.25,166.811,19.539,24.524,25.824
P14678,7EVO,58,0.595,f,"H,f,e",189.7,142.008,117.432,30.933,31.681,35.264
P14866,3TO8,6,0.492,A,A,8.922,20.81,-15.088,16.409,18.928,17.502
P14868,4J15,1,0.787,"A,B","B,A",15.09,17.205,18.77,18.737,16.498,20.105
P15863,P15863,5,0.633,All,All,11.494,-4.874,-10.812,23.647,16.425,25.413
P16615,6LLY,72,0.969,A,A,114.14,83.025,117.808,25.257,17.356,24.14
P17480,P17480,63,0.328,All,All,-7.902,13.5,7.638,18.331,24.175,21.616
P17980,8USB,248,0.973,F,"F,B,A,E,D",160.252,148.344,145.047,18.587,28.405,21.32
P17987,7NVL,2,0.996,"A,a","G,q,A",266.438,200.463,236.025,25.629,39.056,46.261
P18615,8UHG,62,0.429,X,"X,V",164.245,197.176,273.208,18.614,27.54,18.349
P19013,P19013,1,0.265,All,All,84.944,-7.965,-40.308,19.959,15.792,16.049
P19387,9EHZ,1,0.992,C,"C,B,A,K",157.572,164.096,123.98,35.887,28.401,32.913
P19388,9EHZ,130,0.698,E,"A,E,F",179.268,128.676,163.311,18.866,21.646,24.034
P19883,2P6A,61,0.957,"C,D","A,D",7.488,24.976,42.062,36.675,23.604,20.607
P20020,6A69,59,0.81,A,A,111.492,98.678,107.032,20.511,17.71,16.917
P20042,8PPL,2,0.039,D,"E,D",270.884,231.247,267.324,26.213,23.823,22.735
P20248,6Q6G,2,0.669,S,"L,R,S",184.634,173.567,222.528,29.918,19.195,29.519
P20848,P20848,10,0.472,All,All,10.62,-9.263,-20.778,19.346,20.788,22.393
P21127,7UKZ,3,0.979,"A,B,C,D,E,F",B,30.046,2.324,44.883,22.549,37.785,22.703
P21283,6WM2,6,0.425,O,O,187.696,223.084,152.192,27.347,17.247,18.197
P22314,6DC6,23,0.464,"A,C",C,483.492,-35.91,415.864,17.874,19.651,15.191
P22626,5WWG,5,0.596,A,"B,A",20.792,32.258,9.513,23.263,29.427,24.73
P22695,9CG3,104,0.238,"K,W","K,W",171.498,171.665,134.351,25.063,48.938,27.168
P23246,7UK1,24,0.317,"A,B",B,20.978,-2.044,29.788,17.693,14.348,15.274
P23381,5UJJ,1,0.868,"A,B",A,1.773,-6.302,30.328,20.829,20.835,24.056
P23396,8GLP,398,0.261,B,"B,D",246.991,154.763,176.906,15.693,21.722,18.389
P23471,P23471,33,0.494,All,All,-16.462,15.254,13.608,19.675,18.174,19.002
P23528,9H1F,1,0.513,A,A,28.937,-18.464,-3.118,24.264,16.428,17.273
P23921,3HNC,1,0.864,"A,B","B,A",-6.1,9.385,-9.266,20.724,17.523,19.469
P24928,9EHZ,23,0.991,A,"C,B,A,K",157.572,164.096,123.98,35.887,28.401,32.913
P25398,8GLP,244,0.927,C,"C,A,D",313.59,152.436,204.341,23.183,25.339,15.748
P25786,5LE5,50,0.415,"E,S","E,M,F",20.726,233.766,2.283,24.003,28.939,28.236
P25787,5LE5,211,0.843,"A,O","G,A",72.312,221.151,-8.543,20.774,29.324,27.256
P25788,5LE5,49,0.32,"F,T","F,M,E",20.726,233.766,2.283,24.003,28.939,28.236
P25789,5LE5,300,0.295,"B,P",P,-28.52,184.888,109.904,22.613,22.466,25.425
P26358,7XIB,1,0.544,A,"C,A",114.057,92.826,96.448,24.493,29.65,25.248
P26368,6TR0,9,0.248,A,A,-22.492,3.64,-9.592,20.338,21.28,19.191
P26447,4CFR,1,0.569,"A,B","B,A,Q",24.21,2.728,-5.694,25.91,16.745,21.267
P26640,P26640,93,0.867,All,All,15.708,30.263,21.574,26.988,32.46,32.671
P27449,6WLW,22,0.995,"1,2,3,4,5,6,7,8,9","4,R,5",205.779,256.046,238.568,21.285,33.434,28.298
P27658,P27658,28,0.087,All,All,-14.214,13.513,3.122,23.964,20.06,28.42
P27694,8RK2,38,0.801,A,"C,B,A",164.502,157.248,152.517,35.033,34.869,32.82
P27708,P27708,3,0.989,All,All,-11.102,-5.254,25.234,21.145,21.223,31.198
P28070,8BZL,93,0.973,"M,a","H,Z,a",78.644,214.87,59.858,20.675,38.372,20.9
P28072,8BZL,22,0.676,"N,b","b,U,V",23.414,243.43,87.03,16.112,19.614,21.703
P28074,8BZL,1,0.97,"K,Y","C,K,D",22.108,190.079,7.956,25.541,32.078,30.919
P28328,P28328,20,0.94,All,All,-14.045,-13.444,17.36,20.192,18.437,25.58
P28340,6TNY,1,0.895,A,"A,T",150.644,171.724,207.689,33.401,25.54,23.744
P28472,9EQG,1,0.945,"B,E","E,D",219.157,197.238,196.058,18.639,24.503,24.704
P29374,P29374,63,0.683,All,All,19.954,-11.441,-28.248,18.856,22.808,18.941
P29377,P29377,3,0.09,All,All,-7.867,10.26,7.758,15.472,13.427,15.082
P29597,4OLI,2,0.777,A,A,-29.36,23.09,43.41,15.949,24.317,24.413
P30876,9EHZ,21,0.99,B,"C,B,A,K",157.572,164.096,123.98,35.887,28.401,32.913
P30968,7BR3,2,0.931,A,A,-25.603,13.176,-9.204,18.245,22.105,18.691
P30988,6NIY,17,0.929,R,R,96.12,105.898,108.068,27.961,22.107,18.937
P31350,2UW2,2,0.825,A,A,1.089,18.057,5.18,18.267,18.682,19.483
P32298,4YHJ,3,0.935,"A,B",A,35.388,27.24,33.386,28.83,19.691,26.873
P33897,7X0Z,95,0.972,"A,B",A,144.17,172.079,136.0,22.119,32.569,28.722
P33947,P33947,3,0.928,All,All,5.107,18.875,-9.622,19.446,17.03,23.39
P33981,6GVJ,20,0.069,A,A,29.491,-14.312,-20.17,19.144,20.083,21.282
P33993,7W1Y,9,0.982,"7,F","4,7",246.348,205.844,144.481,21.859,28.905,27.487
P35232,8RRH,275,0.615,"A,C,E,G,I,K",G,197.26,178.914,180.397,21.605,21.221,24.348
P35244,3KDF,1,0.434,"A,C","C,B,A,D",6.206,29.466,48.646,17.617,18.777,22.209
P35249,8UMV,2,0.696,D,"C,D",141.034,100.772,139.417,21.117,25.193,18.688
P35503,P35503,35,0.745,All,All,-2.563,-20.959,-1.866,22.436,21.412,19.059
P35573,8ZEQ,1,1.0,A,A,135.724,118.438,154.963,47.039,30.625,49.592
P35606,8D30,39,0.848,"A,B",B,-42.912,11.019,24.776,19.931,17.157,24.895
P35626,P35626,18,0.476,All,All,23.806,4.275,-12.376,19.061,24.659,18.395
P35998,8USD,5,0.94,A,"A,f",187.121,155.442,217.904,20.974,25.478,16.606
P36542,8H9E,1,1.0,G,"G,F,C,B,E",174.554,200.952,138.229,76.408,40.663,37.042
P36776,7OXO,429,0.969,"A,B,C,D,E,F",B,181.094,196.418,118.87,42.666,39.069,34.376
P36896,P36896,17,0.828,All,All,-13.411,-12.528,-3.101,25.93,27.539,32.523
P36954,9EHZ,12,0.141,I,"B,A,I",145.329,190.895,187.387,23.994,20.069,18.412
P36957,6H05,5,0.533,A,A,29.345,-36.528,51.959,16.358,16.71,17.694
P38159,P38159,1,0.64,All,All,-10.718,3.048,-6.832,17.783,17.599,22.46
P38646,9BLS,49,0.572,A,A,167.777,199.486,133.011,21.144,19.51,21.58
P38919,4C9B,15,0.828,A,A,-2.006,95.252,10.044,23.431,15.65,23.172
P39019,8GLP,163,0.635,E,"A,E,D",223.826,156.981,241.94,24.732,27.699,18.262
P40227,7NVL,12,0.707,"Z,z",Z,192.824,190.02,274.802,24.936,20.149,21.296
P40259,7XQ8,93,0.161,B,"C,B,v",199.731,190.183,172.926,28.622,20.06,27.76
P41159,8X85,153,0.329,"C,D",D,247.797,171.623,254.74,20.934,18.707,24.361
P41223,8C6J,241,0.079,L,"L,o,M,6",353.212,252.006,264.915,22.936,20.272,24.872
P41227,9F1B,91,0.836,D,"A,D",322.61,389.294,374.042,25.429,19.397,30.553
P41252,P41252,67,0.789,All,All,22.728,1.108,-16.684,18.429,25.483,17.809
P42285,7Z52,54,0.418,B,B,89.129,124.128,104.427,25.774,21.398,18.032
P43003,7NPW,36,0.825,"A,B,C","C,A",153.792,159.667,157.677,17.415,17.672,20.312
P43034,9E0Z,11,0.805,"C,D",D,246.864,274.394,288.672,16.077,18.927,18.943
P43243,P43243,51,0.017,All,All,20.995,-8.635,-15.215,17.564,14.97,15.824
P43686,8USB,458,0.934,D,"F,B,A,E,D",160.252,148.344,145.047,18.587,28.405,21.32
P46781,8GLP,228,0.36,B,"H,B,A",314.59,223.643,168.123,21.677,27.028,46.025
P46782,8GLP,376,0.631,B,"G,B,D",205.898,226.182,217.038,21.942,28.098,21.276
P46783,8GLP,98,0.011,C,"C,A,D",298.966,148.008,195.318,14.587,20.598,19.459
P47224,1FWQ,2,0.39,A,A,-31.823,31.311,-5.036,14.178,14.362,13.185
P47756,9B85,99,0.983,O,"N,B,A,O",316.844,338.28,248.666,23.61,29.474,32.136
P48444,P48444,2,0.589,All,All,-15.068,-13.957,-4.276,25.226,20.37,18.277
P48544,P48544,1,0.573,All,All,-34.995,-1.812,16.534,21.788,21.802,39.857
P48643,7NVL,4,0.844,"E,e",E,183.098,189.053,161.773,20.347,21.626,25.558
P48740,4IGD,1,0.422,A,A,29.61,11.954,-14.306,16.345,15.611,17.584
P49005,3E0J,3,0.791,"A,C,E,G","C,D",18.136,180.564,75.806,16.865,18.112,15.986
P49366,6XXJ,3,0.865,"A,B",B,4.588,-53.626,-19.976,21.98,20.613,17.569
P49589,P49589,6,0.702,All,All,-29.532,9.727,25.447,20.441,34.586,27.238
P49590,P49590,1,0.788,All,All,4.008,-1.282,-11.15,26.677,20.468,27.282
P49591,8P7B,3,0.34,"B,D","B,D",166.679,170.9,170.08,15.102,14.625,17.071
P49720,5LE5,7,0.874,"I,W","H,A,I",56.74,207.748,27.264,22.137,19.719,18.545
P49721,5LE5,6,0.444,"J,X","X,Y,Q",22.625,187.49,80.95,22.276,20.852,17.42
P49756,P49756,8,0.202,All,All,17.336,-19.75,-24.114,15.787,19.284,21.115
P49761,6KHF,1,0.727,A,A,74.218,35.922,13.04,16.001,18.865,17.373
P49770,7VLK,185,0.555,"C,D","C,J",182.647,115.276,169.885,21.37,31.248,24.734
P50570,P50570,8,0.659,All,All,23.814,8.268,-16.298,17.978,16.992,21.635
P50613,8P79,5,0.599,J,J,156.658,140.684,124.954,25.285,26.876,31.738
P51148,4KYI,1,0.196,"B,D,F,H",D,-64.614,-28.798,-19.208,24.423,19.22,20.545
P51589,P51589,7,0.984,All,All,-2.501,-0.552,-4.622,20.315,27.356,23.885
P51610,P51610,2,0.507,All,All,-32.714,29.031,69.113,20.797,20.683,24.05
P51617,6BFN,2,0.865,"A,B",B,-42.523,9.399,28.278,21.348,22.012,21.725
P51665,8USB,296,0.629,Z,"Z,c,E",151.782,199.48,116.8,25.627,26.376,18.383
P51788,8TA3,63,0.808,"A,B",A,131.44,124.608,143.423,30.571,26.656,31.064
P52272,P52272,5,0.225,All,All,-29.877,-7.036,0.88,16.14,17.287,17.606
P52435,9EHZ,1,0.992,K,"C,B,A,K",157.572,164.096,123.98,35.887,28.401,32.913
P52594,P52594,14,0.662,All,All,-9.548,-6.929,6.494,30.424,20.563,17.542
P52732,6TIW,69,0.978,K,"B,A,K",215.488,156.128,252.274,29.918,32.623,39.379
P52789,5HEX,2,0.888,"A,B",A,87.107,13.848,-99.453,20.043,27.94,13.906
P52895,4JTR,2,0.984,"A,B",A,-71.395,171.372,203.499,20.474,29.188,24.45
P52948,7F90,51,0.004,"B,D","C,B,A",-39.76,-1.64,11.827,18.37,18.336,15.255
P53396,7RIG,16,0.915,"A,B,C,D",A,133.804,118.303,135.326,32.037,46.738,52.178
P53621,6U3V,31,0.716,"B,D","C,D",47.696,7.523,2.774,25.14,25.567,23.303
P53634,3PDF,3,0.768,A,A,55.206,7.202,21.847,16.443,20.322,23.865
P53667,5HVJ,43,0.741,"A,B",B,-31.671,-17.431,-54.588,19.168,21.037,24.914
P54136,4R3Z,3,0.738,B,B,-29.536,88.817,56.03,29.353,18.598,15.487
P54219,8TGN,1,1.0,"A,B",B,155.796,153.511,116.66,45.209,28.228,30.961
P54920,P54920,3,0.415,All,All,-13.825,-8.662,20.985,15.048,15.599,15.798
P55060,P55060,63,0.286,All,All,-2.598,8.987,28.002,16.575,19.819,20.055
P55072,5FTJ,272,0.926,"A,B,C,D,E,F",F,44.53,54.158,83.012,17.098,25.225,22.003
P55081,8H6K,341,0.187,F,"C,F",249.623,338.106,247.983,22.02,18.866,17.445
P55287,P55287,7,0.239,All,All,17.309,-25.246,-77.384,14.595,15.775,20.635
P55735,9LWF,158,0.803,"H,R","N,R",251.92,181.626,320.799,31.476,29.131,27.87
P55769,2OZB,3,0.584,"A,D",D,-55.814,-86.544,52.939,19.431,18.923,16.716
P56559,P56559,12,0.344,All,All,-16.505,4.678,13.74,24.876,27.207,22.327
P56937,P56937,2,0.992,All,All,5.17,-3.082,-12.202,39.307,32.221,30.684
P57771,2ODE,46,0.641,"B,D","A,D",2.904,9.231,13.52,20.113,23.046,25.229
P58753,9FQM,36,0.663,"A,B,C,D,E,F,G,H","B,A",130.152,128.194,95.435,25.231,35.628,20.466
P59544,P59544,19,0.831,All,All,-17.502,3.752,5.866,28.319,23.716,25.075
P60842,9AVR,1,0.636,A,A,-19.238,-6.972,2.964,28.204,18.273,28.908
P60896,3T5X,7,0.022,B,"B,A",32.55,36.284,16.465,15.454,17.101,14.454
P60900,5LE5,6,0.883,"G,U","G,N,H",55.978,237.974,17.828,15.961,27.235,23.633
P61201,4D10,1,0.787,"B,J","F,B,E",20.478,54.644,52.014,16.271,22.119,19.978
P61218,9EHZ,202,0.86,F,"A,E,F",179.268,128.676,163.311,18.866,21.646,24.034
P61244,1HLO,3,0.512,"A,B","B,A,D",46.944,27.704,31.934,18.441,17.547,20.441
P61421,6WLW,9,0.775,Q,"8,Q,9",238.041,249.648,182.558,31.845,36.731,25.999
P61604,9ES0,314,0.066,"a,b,c,d,e,f,g,h,i,j,k,l,m,n","G,F,g",174.075,198.324,92.622,17.494,19.161,25.713
P61923,2HF6,1,0.608,A,A,22.247,-9.713,9.186,19.848,18.824,23.745
P61970,1GY5,19,0.351,"A,B",B,4.244,-3.53,-6.962,14.96,15.492,17.821
P61978,P61978,8,0.379,All,All,20.133,-0.976,-29.393,21.04,17.69,17.552
P62081,8GLP,377,0.577,B,"C,B,A,D",245.187,286.838,152.538,42.175,30.64,32.24
P62140,P62140,11,0.177,All,All,12.522,5.623,14.418,20.763,20.085,16.776
P62195,8USB,437,0.379,C,"C,B,A",182.474,173.218,176.015,30.219,36.809,20.798
P62244,8GLP,430,0.125,F,"H,A,E,F",245.187,286.838,152.538,42.175,30.64,32.24
P62249,8GLP,436,0.095,C,"C,A,I",201.1,180.568,184.434,37.657,27.317,21.225
P62263,8GLP,372,0.307,D,"C,E,F,D",203.572,226.36,212.997,28.583,28.454,29.358
P62273,8GLP,2,0.717,F,"A,F",262.673,177.722,212.534,32.238,27.099,26.075
