UniProt_ID,Run_0,Run_1,Run_2,Mean_Affinity,Std_Dev,Best_Affinity,Replicates
P58753,-7.854,-7.847,-7.85,-7.85,0.003,-7.854,3
P06730,-7.862,-7.846,-7.851,-7.85,0.007,-7.862,3
Q9UJX5,-8.247,-7.648,-7.633,-7.84,0.286,-8.247,3
Q9NRX1,-7.822,-7.822,-7.827,-7.82,0.002,-7.827,3
P00813,-7.826,-7.797,-7.796,-7.81,0.014,-7.826,3
P21127,-7.79,-7.805,-7.807,-7.8,0.008,-7.807,3
Q15459,-7.807,-7.804,-7.793,-7.8,0.006,-7.807,3
Q8NHQ9,-7.794,-7.796,-7.806,-7.8,0.005,-7.806,3
P35573,-7.803,-7.787,-7.8,-7.8,0.007,-7.803,3
O15067,-7.795,-7.803,-7.786,-7.79,0.007,-7.803,3
P56937,-7.797,-7.785,-7.786,-7.79,0.005,-7.797,3
P25787,-7.838,-7.696,-7.826,-7.79,0.064,-7.838,3
Q6P2Q9,-7.765,-7.768,-7.792,-7.78,0.012,-7.792,3
Q8WWY3,-7.784,-7.768,-7.75,-7.77,0.014,-7.784,3
P36896,-7.776,-7.746,-7.757,-7.76,0.012,-7.776,3
Q9BW27,-7.568,-7.861,-7.856,-7.76,0.137,-7.861,3
Q14137,-7.585,-7.852,-7.85,-7.76,0.125,-7.852,3
Q9UKF6,-7.735,-7.744,-7.758,-7.75,0.009,-7.758,3
Q13951,-7.731,-7.715,-7.734,-7.73,0.008,-7.734,3
Q15904,-7.735,-7.724,-7.728,-7.73,0.005,-7.735,3
O75787,-7.719,-7.731,-7.724,-7.72,0.005,-7.731,3
P14868,-7.736,-7.71,-7.724,-7.72,0.011,-7.736,3
Q9H1C3,-7.716,-7.693,-7.721,-7.71,0.012,-7.721,3
Q9NZM5,-7.658,-7.67,-7.678,-7.67,0.008,-7.678,3
Q53GS9,-7.647,-7.616,-7.658,-7.64,0.018,-7.658,3
P08621,-7.632,-7.62,-7.663,-7.64,0.018,-7.663,3
Q86W42,-7.627,-7.656,-7.622,-7.64,0.015,-7.656,3
O95136,-7.887,-7.569,-7.441,-7.63,0.188,-7.887,3
P26358,-7.615,-7.614,-7.62,-7.62,0.003,-7.62,3
P24928,-7.604,-7.612,-7.607,-7.61,0.003,-7.612,3
P52435,-7.607,-7.599,-7.61,-7.61,0.005,-7.61,3
P30876,-7.602,-7.612,-7.609,-7.61,0.004,-7.612,3
Q14028,-7.61,-7.623,-7.601,-7.61,0.009,-7.623,3
P19387,-7.59,-7.595,-7.603,-7.6,0.005,-7.603,3
Q9P2I0,-7.587,-7.609,-7.615,-7.6,0.012,-7.615,3
O15442,-7.542,-7.527,-7.55,-7.54,0.01,-7.55,3
Q12769,-7.519,-7.543,-7.531,-7.53,0.01,-7.543,3
P68363,-7.543,-7.531,-7.521,-7.53,0.009,-7.543,3
P09884,-7.533,-7.539,-7.529,-7.53,0.004,-7.539,3
P26447,-7.663,-7.431,-7.44,-7.51,0.107,-7.663,3
Q02218,-7.562,-7.557,-7.4,-7.51,0.075,-7.562,3
P43686,-7.5,-7.499,-7.5,-7.5,0.0,-7.5,3
O96019,-7.518,-7.508,-7.481,-7.5,0.016,-7.518,3
P62333,-7.493,-7.501,-7.495,-7.5,0.003,-7.501,3
Q96HW7,-7.499,-7.495,-7.513,-7.5,0.008,-7.513,3
P17980,-7.483,-7.485,-7.504,-7.49,0.009,-7.504,3
Q96Q15,-7.477,-7.484,-7.5,-7.49,0.01,-7.5,3
P09455,-7.49,-7.47,-7.468,-7.48,0.01,-7.49,3
P27658,-7.453,-7.475,-7.477,-7.47,0.011,-7.477,3
P63267,-7.488,-7.465,-7.461,-7.47,0.012,-7.488,3
Q92551,-7.462,-7.461,-7.468,-7.46,0.003,-7.468,3
P51589,-7.471,-7.442,-7.471,-7.46,0.014,-7.471,3
Q9Y5B9,-7.452,-7.448,-7.448,-7.45,0.002,-7.452,3
A6NKT7,-7.442,-7.459,-7.44,-7.45,0.009,-7.459,3
Q9H999,-7.123,-8.05,-7.112,-7.43,0.44,-8.05,3
Q9GZZ9,-7.447,-7.362,-7.475,-7.43,0.048,-7.475,3
P25788,-7.407,-7.424,-7.392,-7.41,0.013,-7.424,3
O43660,-7.41,-7.387,-7.42,-7.41,0.014,-7.42,3
O96008,-7.403,-7.4,-7.39,-7.4,0.006,-7.403,3
P29597,-7.383,-7.384,-7.399,-7.39,0.007,-7.399,3
Q9H477,-7.378,-7.387,-7.39,-7.39,0.005,-7.39,3
P61421,-7.394,-7.385,-7.38,-7.39,0.006,-7.394,3
Q9Y5X4,-7.363,-7.378,-7.367,-7.37,0.006,-7.378,3
Q96G21,-7.358,-7.392,-7.347,-7.37,0.019,-7.392,3
O00267,-7.353,-7.38,-7.347,-7.36,0.014,-7.38,3
P52895,-7.347,-7.37,-7.349,-7.36,0.01,-7.37,3
Q99459,-7.476,-7.438,-7.141,-7.35,0.15,-7.476,3
Q9ULR0,-7.373,-7.313,-7.376,-7.35,0.029,-7.376,3
P06858,-7.089,-7.278,-7.618,-7.33,0.219,-7.618,3
Q9HCG8,-7.324,-7.338,-7.33,-7.33,0.006,-7.338,3
P47756,-7.304,-7.344,-7.322,-7.32,0.016,-7.344,3
O15379,-7.347,-7.248,-7.362,-7.32,0.051,-7.362,3
P78346,-7.319,-7.297,-7.308,-7.31,0.009,-7.319,3
Q9UI33,-7.326,-7.323,-7.294,-7.31,0.014,-7.326,3
P30968,-7.299,-7.297,-7.311,-7.3,0.006,-7.311,3
O75533,-7.303,-7.301,-7.3,-7.3,0.001,-7.303,3
Q86SF2,-7.268,-7.303,-7.303,-7.29,0.016,-7.303,3
Q9BWJ5,-7.302,-7.306,-7.272,-7.29,0.015,-7.306,3
O60566,-7.242,-7.322,-7.317,-7.29,0.037,-7.322,3
Q8IUX4,-7.323,-7.276,-7.275,-7.29,0.022,-7.323,3
Q13112,-7.354,-7.264,-7.223,-7.28,0.055,-7.354,3
Q9UKD2,-7.28,-7.281,-7.266,-7.28,0.007,-7.281,3
P25786,-7.42,-6.974,-7.408,-7.27,0.207,-7.42,3
Q04637,-7.292,-7.324,-7.185,-7.27,0.059,-7.324,3
P50570,-7.284,-7.286,-7.245,-7.27,0.019,-7.286,3
Q9UI10,-7.265,-7.264,-7.255,-7.26,0.004,-7.265,3
Q8TEZ7,-7.354,-7.217,-7.216,-7.26,0.065,-7.354,3
O75643,-7.243,-7.269,-7.259,-7.26,0.011,-7.269,3
O43242,-7.275,-7.254,-7.245,-7.26,0.013,-7.275,3
Q13489,-7.247,-7.266,-7.25,-7.25,0.008,-7.266,3
Q13535,-7.142,-7.416,-7.153,-7.24,0.127,-7.416,3
Q09161,-7.224,-7.225,-7.227,-7.23,0.001,-7.227,3
Q8TDY2,-7.465,-7.168,-7.068,-7.23,0.169,-7.465,3
Q9Y219,-7.195,-7.232,-7.24,-7.22,0.02,-7.24,3
P19883,-7.226,-7.227,-7.202,-7.22,0.012,-7.227,3
P22626,-7.633,-6.39,-7.641,-7.22,0.588,-7.641,3
Q9NYS0,-7.147,-7.348,-7.146,-7.21,0.095,-7.348,3
Q8TEA8,-7.221,-7.209,-7.208,-7.21,0.006,-7.221,3
P41159,-7.217,-7.211,-7.215,-7.21,0.002,-7.217,3
Q9UJ71,-7.203,-7.196,-7.193,-7.2,0.004,-7.203,3
Q9UBF6,-7.202,-7.147,-7.243,-7.2,0.039,-7.243,3
Q9BXP5,-7.217,-7.161,-7.232,-7.2,0.031,-7.232,3
P04843,-7.208,-7.183,-7.182,-7.19,0.012,-7.208,3
Q9GZN1,-7.146,-7.204,-7.203,-7.18,0.027,-7.204,3
Q8IWX8,-7.184,-7.171,-7.177,-7.18,0.005,-7.184,3
O95347,-7.384,-7.082,-7.07,-7.18,0.145,-7.384,3
Q16581,-7.173,-7.191,-7.177,-7.18,0.008,-7.191,3
P51665,-7.171,-7.194,-7.158,-7.17,0.015,-7.194,3
O60942,-7.173,-7.179,-7.17,-7.17,0.004,-7.179,3
Q9UP38,-7.167,-7.163,-7.148,-7.16,0.008,-7.167,3
P51788,-7.143,-7.191,-7.139,-7.16,0.024,-7.191,3
Q9HCS7,-7.155,-7.179,-7.149,-7.16,0.013,-7.179,3
P22695,-7.573,-6.944,-6.912,-7.14,0.304,-7.573,3
P07737,-7.139,-7.14,-7.126,-7.14,0.006,-7.14,3
Q99819,-7.13,-7.12,-7.15,-7.13,0.012,-7.15,3
Q9UKL4,-7.132,-7.165,-7.081,-7.13,0.035,-7.165,3
Q8WVK2,-7.146,-7.081,-7.162,-7.13,0.035,-7.162,3
Q15393,-7.3,-7.261,-6.814,-7.12,0.22,-7.3,3
Q92620,-7.113,-7.12,-7.117,-7.12,0.003,-7.12,3
O00443,-7.123,-7.113,-7.103,-7.11,0.008,-7.123,3
O14818,-7.113,-7.107,-7.103,-7.11,0.004,-7.113,3
Q8NI27,-7.286,-6.7,-7.273,-7.09,0.273,-7.286,3
Q99594,-7.054,-7.165,-7.048,-7.09,0.054,-7.165,3
Q9HCL2,-7.11,-7.058,-7.058,-7.08,0.025,-7.11,3
Q92621,-7.122,-7.07,-7.03,-7.07,0.038,-7.122,3
P07360,-7.074,-7.07,-7.078,-7.07,0.003,-7.078,3
Q8N5V2,-7.063,-7.063,-7.093,-7.07,0.014,-7.093,3
P35626,-7.059,-7.076,-7.078,-7.07,0.009,-7.078,3
O15514,-7.064,-7.052,-7.057,-7.06,0.005,-7.064,3
P36776,-7.068,-7.067,-7.051,-7.06,0.008,-7.068,3
P19388,-7.06,-7.058,-7.047,-7.06,0.006,-7.06,3
Q8N5C6,-7.061,-7.072,-7.056,-7.06,0.007,-7.072,3
Q8N1F7,-7.057,-7.053,-7.036,-7.05,0.009,-7.057,3
P08865,-7.042,-7.051,-7.046,-7.05,0.004,-7.051,3
P61218,-7.04,-7.052,-7.063,-7.05,0.009,-7.063,3
Q9NRZ7,-7.048,-7.04,-7.048,-7.05,0.004,-7.048,3
Q9Y2W2,-6.933,-6.925,-7.273,-7.04,0.162,-7.273,3
P62244,-6.981,-7.064,-7.053,-7.03,0.037,-7.064,3
P36954,-7.062,-6.984,-7.036,-7.03,0.032,-7.062,3
P13164,-7.205,-6.949,-6.914,-7.02,0.13,-7.205,3
P54219,-7.018,-7.004,-7.029,-7.02,0.01,-7.029,3
P53667,-6.988,-7.02,-7.026,-7.01,0.017,-7.026,3
Q92541,-6.958,-7.099,-6.945,-7.0,0.07,-7.099,3
Q9NX52,-7.003,-6.991,-7.019,-7.0,0.011,-7.019,3
Q9NQ94,-7.008,-6.99,-7.013,-7.0,0.01,-7.013,3
Q9UK45,-6.994,-6.991,-6.986,-6.99,0.003,-6.994,3
Q99714,-6.831,-7.075,-7.061,-6.99,0.112,-7.075,3
Q9UJX2,-6.939,-6.919,-7.083,-6.98,0.073,-7.083,3
Q9GZT9,-6.978,-6.969,-6.977,-6.97,0.004,-6.978,3
P50613,-6.866,-7.187,-6.862,-6.97,0.152,-7.187,3
P62081,-7.014,-6.875,-6.983,-6.96,0.06,-7.014,3
Q13838,-6.948,-6.966,-6.958,-6.96,0.007,-6.966,3
Q14152,-6.973,-6.976,-6.938,-6.96,0.017,-6.976,3
O95926,-6.958,-6.947,-6.956,-6.95,0.005,-6.958,3
Q9Y4Y9,-6.867,-6.986,-6.995,-6.95,0.058,-6.995,3
Q16819,-6.93,-6.945,-6.935,-6.94,0.006,-6.945,3
P62263,-6.932,-6.947,-6.938,-6.94,0.006,-6.947,3
Q92482,-6.949,-6.924,-6.924,-6.93,0.012,-6.949,3
Q15029,-6.896,-6.962,-6.929,-6.93,0.027,-6.962,3
Q9BS26,-6.779,-7.218,-6.804,-6.93,0.201,-7.218,3
Q71UI9,-6.932,-6.916,-6.92,-6.92,0.007,-6.932,3
Q99873,-6.912,-6.926,-6.898,-6.91,0.011,-6.926,3
O75427,-6.892,-6.91,-6.907,-6.9,0.008,-6.91,3
Q96J01,-6.803,-6.95,-6.939,-6.9,0.067,-6.95,3
Q6UN15,-6.874,-6.884,-6.868,-6.88,0.007,-6.884,3
P49005,-6.838,-6.881,-6.923,-6.88,0.035,-6.923,3
Q9UHX1,-6.882,-6.889,-6.875,-6.88,0.006,-6.889,3
P33993,-7.023,-6.568,-7.051,-6.88,0.221,-7.051,3
Q8TE73,-6.836,-6.918,-6.814,-6.86,0.045,-6.918,3
Q8NEP9,-6.852,-6.859,-6.861,-6.86,0.004,-6.861,3
P62318,-6.757,-6.871,-6.896,-6.84,0.06,-6.896,3
Q8WYA6,-6.867,-6.811,-6.831,-6.84,0.023,-6.867,3
Q9BYG3,-6.826,-6.847,-6.849,-6.84,0.01,-6.849,3
Q92614,-6.828,-6.84,-6.834,-6.83,0.005,-6.84,3
P40259,-6.843,-6.843,-6.814,-6.83,0.014,-6.843,3
O15530,-6.806,-6.833,-6.815,-6.82,0.011,-6.833,3
Q02535,-6.821,-6.83,-6.816,-6.82,0.006,-6.83,3
Q96L91,-7.147,-6.666,-6.648,-6.82,0.231,-7.147,3
Q2TAY7,-6.806,-6.816,-6.806,-6.81,0.005,-6.816,3
P20020,-6.792,-6.811,-6.813,-6.81,0.009,-6.813,3
Q9HBX8,-6.834,-6.786,-6.823,-6.81,0.021,-6.834,3
P62310,-6.793,-6.78,-6.823,-6.8,0.018,-6.823,3
Q14683,-6.803,-6.792,-6.794,-6.8,0.005,-6.803,3
O75818,-6.803,-6.787,-6.797,-6.8,0.007,-6.803,3
P49721,-6.753,-6.815,-6.795,-6.79,0.026,-6.815,3
P13010,-6.61,-7.181,-6.572,-6.79,0.279,-7.181,3
P49589,-6.968,-6.965,-6.446,-6.79,0.245,-6.968,3
Q9H3Y6,-6.812,-6.786,-6.776,-6.79,0.015,-6.812,3
P23471,-6.769,-6.777,-6.821,-6.79,0.023,-6.821,3
Q8N9H8,-6.76,-6.781,-6.79,-6.78,0.013,-6.79,3
Q7RTY9,-6.786,-6.793,-6.754,-6.78,0.017,-6.793,3
P17987,-6.607,-6.618,-7.089,-6.77,0.225,-7.089,3
P54136,-6.932,-6.927,-6.46,-6.77,0.221,-6.932,3
Q8IU80,-6.523,-6.892,-6.908,-6.77,0.178,-6.908,3
P07437,-6.759,-6.754,-6.755,-6.76,0.002,-6.759,3
O94925,-6.758,-6.768,-6.756,-6.76,0.005,-6.768,3
Q92966,-6.828,-6.632,-6.805,-6.76,0.087,-6.828,3
Q658P3,-6.749,-6.759,-6.749,-6.75,0.005,-6.759,3
P53621,-6.748,-6.74,-6.739,-6.74,0.004,-6.748,3
P05023,-6.76,-6.729,-6.742,-6.74,0.013,-6.76,3
Q15843,-6.925,-6.649,-6.654,-6.74,0.129,-6.925,3
Q96LW9,-6.735,-6.749,-6.74,-6.74,0.006,-6.749,3
Q8NI08,-6.744,-6.757,-6.71,-6.74,0.02,-6.757,3
Q15427,-6.73,-6.733,-6.735,-6.73,0.002,-6.735,3
Q13123,-6.749,-6.703,-6.734,-6.73,0.019,-6.749,3
Q9Y226,-6.723,-6.72,-6.711,-6.72,0.005,-6.723,3
P28340,-6.674,-6.732,-6.723,-6.71,0.025,-6.732,3
Q8WXD2,-6.596,-6.841,-6.705,-6.71,0.1,-6.841,3
O00487,-6.743,-6.732,-6.664,-6.71,0.035,-6.743,3
Q9H204,-6.708,-6.697,-6.697,-6.7,0.005,-6.708,3
Q9Y4Z0,-6.821,-6.809,-6.47,-6.7,0.163,-6.821,3
Q9Y265,-6.644,-6.729,-6.688,-6.69,0.035,-6.729,3
Q9H4A9,-6.683,-6.7,-6.68,-6.69,0.009,-6.7,3
Q86XW9,-6.683,-6.672,-6.676,-6.68,0.005,-6.683,3
P20848,-6.642,-6.69,-6.696,-6.68,0.024,-6.696,3
P33981,-6.673,-6.655,-6.712,-6.68,0.024,-6.712,3
Q13257,-6.735,-6.706,-6.545,-6.66,0.084,-6.735,3
Q00839,-6.595,-6.683,-6.693,-6.66,0.044,-6.693,3
Q99623,-6.704,-6.592,-6.621,-6.64,0.047,-6.704,3
P57771,-6.616,-6.614,-6.656,-6.63,0.019,-6.656,3
Q56UN5,-6.633,-6.633,-6.618,-6.63,0.007,-6.633,3
O95750,-6.661,-6.607,-6.602,-6.62,0.027,-6.661,3
P12956,-6.66,-6.612,-6.603,-6.62,0.025,-6.66,3
P33897,-6.644,-6.63,-6.595,-6.62,0.021,-6.644,3
O60231,-6.6,-6.613,-6.607,-6.61,0.005,-6.613,3
Q9NSE4,-6.601,-6.603,-6.606,-6.6,0.002,-6.606,3
P27449,-6.578,-6.604,-6.605,-6.6,0.012,-6.605,3
P49366,-6.596,-6.606,-6.603,-6.6,0.004,-6.606,3
P46782,-6.601,-6.592,-6.616,-6.6,0.01,-6.616,3
P16615,-6.592,-6.589,-6.585,-6.59,0.003,-6.592,3
O60346,-6.578,-6.612,-6.591,-6.59,0.014,-6.612,3
O75694,-6.637,-6.561,-6.528,-6.58,0.046,-6.637,3
P98155,-6.686,-6.554,-6.504,-6.58,0.077,-6.686,3
Q9NYW1,-6.577,-6.57,-6.568,-6.57,0.004,-6.577,3
Q96DI7,-6.559,-6.563,-6.599,-6.57,0.018,-6.599,3
Q9NY93,-6.561,-6.575,-6.564,-6.57,0.006,-6.575,3
O43854,-6.551,-6.561,-6.581,-6.56,0.012,-6.581,3
Q9NPF5,-6.562,-6.571,-6.555,-6.56,0.007,-6.571,3
Q7Z5H3,-6.645,-6.404,-6.634,-6.56,0.111,-6.645,3
Q9Y3B8,-6.494,-6.492,-6.663,-6.55,0.08,-6.663,3
Q13144,-6.54,-6.564,-6.533,-6.55,0.013,-6.564,3
O75909,-6.519,-6.559,-6.562,-6.55,0.02,-6.562,3
P78527,-6.541,-6.533,-6.533,-6.54,0.004,-6.541,3
Q92905,-6.545,-6.54,-6.531,-6.54,0.006,-6.545,3
P53634,-6.55,-6.534,-6.548,-6.54,0.007,-6.55,3
P61201,-6.537,-6.549,-6.547,-6.54,0.005,-6.549,3
P55072,-6.547,-6.489,-6.544,-6.53,0.027,-6.547,3
P49761,-6.537,-6.531,-6.529,-6.53,0.003,-6.537,3
P63272,-6.535,-6.535,-6.521,-6.53,0.007,-6.535,3
P11940,-6.533,-6.505,-6.539,-6.53,0.015,-6.539,3
O96000,-6.616,-6.475,-6.495,-6.53,0.062,-6.616,3
O14735,-6.513,-6.488,-6.557,-6.52,0.029,-6.557,3
Q96PM5,-6.602,-6.499,-6.472,-6.52,0.056,-6.602,3
Q9UJV9,-6.532,-6.486,-6.547,-6.52,0.026,-6.547,3
Q7L5N1,-6.517,-6.528,-6.503,-6.52,0.01,-6.528,3
Q6UWM5,-6.556,-6.502,-6.504,-6.52,0.025,-6.556,3
P14678,-6.507,-6.527,-6.525,-6.52,0.009,-6.527,3
Q9BXR5,-6.507,-6.505,-6.516,-6.51,0.005,-6.516,3
P48544,-6.503,-6.508,-6.493,-6.5,0.006,-6.508,3
P23246,-6.489,-6.503,-6.508,-6.5,0.008,-6.508,3
A4D1S5,-6.494,-6.483,-6.5,-6.49,0.007,-6.5,3
Q8WV22,-6.484,-6.475,-6.478,-6.48,0.004,-6.484,3
Q16543,-6.451,-6.464,-6.458,-6.46,0.005,-6.464,3
P48740,-6.45,-6.468,-6.47,-6.46,0.009,-6.47,3
Q9BVL2,-6.452,-6.469,-6.44,-6.45,0.012,-6.469,3
Q9Y4W6,-6.432,-6.442,-6.473,-6.45,0.017,-6.473,3
O60264,-6.615,-6.089,-6.639,-6.45,0.254,-6.639,3
Q9GZR7,-6.814,-6.242,-6.294,-6.45,0.258,-6.814,3
P38919,-6.44,-6.447,-6.426,-6.44,0.009,-6.447,3
O95153,-6.455,-6.432,-6.43,-6.44,0.011,-6.455,3
Q9BU64,-6.436,-6.447,-6.432,-6.44,0.006,-6.447,3
Q52LW3,-6.425,-6.422,-6.427,-6.42,0.002,-6.427,3
P10523,-6.09,-6.581,-6.595,-6.42,0.235,-6.595,3
Q14839,-6.415,-6.402,-6.41,-6.41,0.005,-6.415,3
O75343,-6.409,-6.424,-6.409,-6.41,0.007,-6.424,3
Q08AH1,-6.404,-6.406,-6.42,-6.41,0.007,-6.42,3
Q13823,-6.517,-5.982,-6.74,-6.41,0.318,-6.74,3
P01111,-6.405,-6.402,-6.404,-6.4,0.001,-6.405,3
P20248,-6.386,-6.404,-6.396,-6.4,0.007,-6.404,3
P01569,-6.409,-6.406,-6.396,-6.4,0.006,-6.409,3
Q15366,-6.388,-6.405,-6.384,-6.39,0.009,-6.405,3
P32298,-6.38,-6.392,-6.404,-6.39,0.01,-6.404,3
Q6ZVD8,-6.372,-6.402,-6.406,-6.39,0.015,-6.406,3
P62877,-6.409,-6.399,-6.376,-6.39,0.014,-6.409,3
Q16623,-6.39,-6.376,-6.388,-6.38,0.006,-6.39,3
Q99798,-6.627,-6.666,-5.822,-6.37,0.389,-6.666,3
O60508,-6.389,-6.331,-6.394,-6.37,0.029,-6.394,3
O00232,-6.359,-6.368,-6.381,-6.37,0.009,-6.381,3
Q8TE68,-6.367,-6.342,-6.371,-6.36,0.013,-6.371,3
Q15697,-6.361,-6.359,-6.361,-6.36,0.001,-6.361,3
Q8WYP5,-6.343,-6.37,-6.352,-6.36,0.011,-6.37,3
Q5VW22,-6.435,-6.463,-6.167,-6.36,0.133,-6.463,3
P11801,-6.344,-6.359,-6.369,-6.36,0.01,-6.369,3
P28074,-6.355,-6.42,-6.305,-6.36,0.047,-6.42,3
P02786,-6.424,-6.375,-6.263,-6.35,0.067,-6.424,3
Q5QJE6,-6.348,-6.338,-6.349,-6.34,0.005,-6.349,3
P28472,-6.326,-6.33,-6.328,-6.33,0.002,-6.33,3
P83876,-6.331,-6.332,-6.326,-6.33,0.003,-6.332,3
P62249,-6.313,-6.349,-6.31,-6.32,0.018,-6.349,3
Q99460,-6.294,-6.351,-6.319,-6.32,0.023,-6.351,3
Q9UPZ3,-6.195,-6.578,-6.194,-6.32,0.181,-6.578,3
Q8N7H5,-6.322,-6.307,-6.316,-6.32,0.006,-6.322,3
Q9UF02,-6.318,-6.327,-6.315,-6.32,0.005,-6.327,3
Q7KZ85,-6.234,-6.372,-6.353,-6.32,0.061,-6.372,3
P62195,-6.326,-6.313,-6.296,-6.31,0.012,-6.326,3
P68104,-6.227,-6.512,-6.179,-6.31,0.147,-6.512,3
Q9UIS9,-6.318,-6.301,-6.296,-6.3,0.009,-6.318,3
Q8TEU8,-6.294,-6.311,-6.287,-6.3,0.01,-6.311,3
P60900,-6.281,-6.282,-6.279,-6.28,0.001,-6.282,3
P31350,-6.277,-6.291,-6.278,-6.28,0.006,-6.291,3
O95411,-6.275,-6.303,-6.27,-6.28,0.015,-6.303,3
P08708,-6.265,-6.263,-6.297,-6.28,0.016,-6.297,3
Q92502,-6.39,-6.328,-6.106,-6.27,0.122,-6.39,3
Q08211,-6.268,-6.272,-6.276,-6.27,0.003,-6.276,3
Q96FN4,-6.273,-6.284,-6.249,-6.27,0.015,-6.284,3
P41223,-6.249,-6.281,-6.25,-6.26,0.015,-6.281,3
Q9UGC6,-6.263,-6.253,-6.229,-6.25,0.014,-6.263,3
Q9Y6V7,-6.24,-6.236,-6.248,-6.24,0.005,-6.248,3
Q9BUQ8,-6.242,-6.25,-6.242,-6.24,0.004,-6.25,3
O95602,-6.251,-6.245,-6.228,-6.24,0.01,-6.251,3
